,Line_ID,Diver,Buddy,Site.No.,event,Site.Name,Habitat,Latitude,Longitude,Date,vis,Direction,Time,P.Qs,Depth,Method,Block,Code,Species,Common.name,Note,A,B,CF,Total Abundance,Total Biomass,Inverts,3,6,9,12,15,18,23,27,30.5,33.8,36.8,46,57,69,81,92,103.5,115,3,6,9,12,15,18,23,27,30.5,33.8,36.8,46,57,69,81,92,103.5,115
133,176,Janina Seemann,0,BOCAS2m,Almirante Mangrove_6/19/17_1,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,1,1,1,bel,Belonidae,Needlefish,,0.00036,3.322,NA,1,12.02160273,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.02160273,0,0,0,0,0,0,0,0,0,0,0
127,170,Janina Seemann,0,BOCAS2m,Almirante Mangrove_6/19/17_1,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,1,1,1,eme,Eucinostomus melanopterus,Flagfin Mojarra,,0.006,3.62,NA,45,104.8034917,0,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.402656285,98.40083539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,175,Janina Seemann,0,BOCAS2m,Almirante Mangrove_6/19/17_1,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,1,1,1,gci,Gerres cinereus,0,,0.0147,3.12,0.821692687,5,157.0463639,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.873706674,27.89869955,0,0,121.2739577,0,0,0,0,0,0,0,0,0,0,0,0
119,163,Janina Seemann,0,BOCAS2m,Almirante Mangrove_6/19/17_1,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,1,1,1,hfl,Haemulon flavolineatum,0,,0.013,3.158,0.917431193,31,405.6593417,0,1,12,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417534412,44.72251795,160.9246018,199.5946875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,173,Janina Seemann,0,BOCAS2m,Almirante Mangrove_6/19/17_1,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,1,1,1,hpa,Haemulon parra,0,,0.0199,2.993,0.930665426,1,65.90133535,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.90133535,0,0,0,0,0,0,0,0,0,0,0,0,0
121,165,Janina Seemann,0,BOCAS2m,Almirante Mangrove_6/19/17_1,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,1,1,1,hpl,Haemulon plumierii,0,,0.0178,3.034,0.894054537,1,65.8689715,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.8689715,0,0,0,0,0,0,0,0,0,0,0,0,0
120,164,Janina Seemann,0,BOCAS2m,Almirante Mangrove_6/19/17_1,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,1,1,1,hst,Haemulon steindachneri,0,,0.0098,3.124,1,17,714.2171016,0,0,0,2,3,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.76331937,69.13684278,462.738004,163.5789354,0,0,0,0,0,0,0,0,0,0,0,0
125,168,Janina Seemann,0,BOCAS2m,Almirante Mangrove_6/19/17_1,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,1,1,1,hbi,Halichoeres bivittatus,0,,0.0134,2.939,1,1,19.89841483,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89841483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,172,Janina Seemann,0,BOCAS2m,Almirante Mangrove_6/19/17_1,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,1,1,1,hpu,Hypoplectrus puella,0,,0.0109,3.182,1,3,18.37723984,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.524297743,11.8529421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,167,Janina Seemann,0,BOCAS2m,Almirante Mangrove_6/19/17_1,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,1,1,1,lan,Lutjanus analis,0,,0.0104,3.07,0.922225638,4,380.3553559,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.7620391,157.5933167,0,0,0,0,0,0,0,0,0,0,0
128,171,Janina Seemann,0,BOCAS2m,Almirante Mangrove_6/19/17_1,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,1,1,1,lap,Lutjanus apodus,0,,0.0194,2.978,0.969932105,8,827.6659927,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,53.90088729,63.47949693,0,0,0,710.2856085,0,0,0,0,0,0,0,0,0,0
123,166,Janina Seemann,0,BOCAS2m,Almirante Mangrove_6/19/17_1,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,1,1,1,lcy,Lutjanus cyanopterus,0,,0.0151,3.059,NA,1,59.79159086,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79159086,0,0,0,0,0,0,0,0,0,0,0,0,0
118,162,Janina Seemann,0,BOCAS2m,Almirante Mangrove_6/19/17_1,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,1,1,1,lgr,Lutjanus griseus,0,,0.0195,2.91,1,1,87.67536877,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.67536877,0,0,0,0,0,0,0,0,0,0,0,0
126,169,Janina Seemann,0,BOCAS2m,Almirante Mangrove_6/19/17_1,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,1,1,1,ljo,Lutjanus jocu,0,,0.045,2.727,0.953288847,6,447.5893849,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.91958045,36.01320993,39.45842732,0,0,0,360.1981672,0,0,0,0,0,0,0,0,0,0
