"Species";"Kingdom";"Phylum";"Class";"Order";"Family";"System";
"Abelmoschus moschatus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Malvaceae";"Terrestrial";
"Abrus precatorius";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia farnesiana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia longifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia nilotica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acanthophora spicifera";"Plantae";"Rhodophyta";"Florideophiceae";"Ceramiales";"Rhodomelaceae";"Marine";
"Achatina fulica";"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Achatinidae";"Terrestrial";
"Acromyrmex octospinosus";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Adenanthera pavonina";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Aedes aegypti";"Animalia";"Arthropoda";"Insecta";"Diptera";"Culicidae";"Terrestrial";
"Aedes albopictus";"Animalia";"Arthropoda";"Insecta";"Diptera";"Culicidae";"Terrestrial";
"Agave americana";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Agavaceae";"Terrestrial";
"Agave sisalana";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Agavaceae";"Terrestrial";
"Ageratum conyzoides";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Albizia lebbeck";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Aleurites moluccana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Euphorbiales";"Euphorbiaceae";"Terrestrial";
"Alpinia zerumbet";"Plantae";"Magnoliophyta";"Liliopsida";"Zingiberales";"Zingiberaceae";"Terrestrial";
"Alternanthera philoxeroides";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Amaranthaceae";"Terrestrial";
"Alternanthera sessilis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Amaranthaceae";"Terrestrial";
"Ambrosia artemisiifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Ameiurus nebulosus";"Animalia";"Chordata";"Actinopterygii";"Siluriformes";"Ictaluridae";"Terrestrial";
"Anas platyrhynchos";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Freshwater_terrestrial";
"Angiopteris evecta";"Plantae";"Pteridophyta";"Filicopsida";"Marattiales";"Marattiaceae";"Terrestrial";
"Annona glabra";"Plantae";"Magnoliophyta";"Magnoliopsida";"Magnoliales";"Annonaceae";"Terrestrial";
"Annona squamosa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Magnoliales";"Annonaceae";"Terrestrial";
"Anolis aeneus";"Animalia";"Chordata";"Reptilia";"Squamata";"Polychrotidae";"Terrestrial";
"Anolis carolinensis";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis cristatellus";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis distichus";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis equestris";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis extremus";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis garmani";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis leachii";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis lineatus";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis maynardi";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis porcatus";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis richardii";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis trinitatis";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis wattsi";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anredera cordifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Basellaceae";"Terrestrial";
"Antigonon leptopus";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Pontederiaceae";"Terrestrial";
"Apis mellifera scutellata";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apiidae";"Terrestrial";
"Ardisia acuminata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Primulales";"Myrsinaceae";"Terrestrial";
"Ardisia elliptica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Primulales";"Myrsinaceae";"Terrestrial";
"Arundo donax";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Asparagus densiflorus";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Liliaceae";"Terrestrial";
"Asparagus officinalis";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Liliaceae";"Terrestrial";
"Asystasia gangetica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Acanthaceae";"Terrestrial";
"Aulacaspis yasumatsui";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Diaspididae";"Terrestrial";
"Bacopa monnieri";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Scrophulariaceae";"Terrestrial";
"Bambusa vulgaris";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Banana bunchy top virus (BBTV)";"Virus";"";"";"";"Circoviridae";"Terrestrial";
"Begonia cucullata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Violales";"Begoniaceae";"Terrestrial";
"Bemisia tabaci";"Animalia";"Arthropoda";"Insecta";"Homoptera";"Aleyrodidae";"Terrestrial";
"Bidens pilosa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Boa constrictor imperator";"Animalia";"Chordata";"Reptilia";"Squamata";"Boidae";"Terrestrial";
"Bos taurus";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Bovidae";"Terrestrial";
"Bothriochloa pertusa";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Branta canadensis";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Freshwater_terrestrial";
"Bromus tectorum";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Bubulcus ibis";"Animalia";"Chordata";"Aves";"Ciconiiformes";"Ardeidae";"Terrestrial";
"Buddleja madagascariensis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Buddlejaceae";"Terrestrial";
"Bugula neritina";"Animalia";"Ectoprocta";"Gymnolaemata";"Cheilostomata";"Bugulidae";"Marine";
"Cactoblastis cactorum";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Pyralidae";"Terrestrial";
"Caesalpinia decapetala";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Caiman crocodilus";"Animalia";"Chordata";"Reptilia";"Crocodilia";"Alligatoridae";"Freshwater_terrestrial";
"Candidatus Liberibacter asiaticus";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhizobiaceae";"Terrestrial";
"Canis lupus";"Animalia";"Chordata";"Mammalia";"Carnivora";"Canidae";"Terrestrial";
"Canna indica";"Plantae";"Magnoliophyta";"Liliopsida";"Zingiberales";"Cannaceae";"Terrestrial";
"Capra hircus";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Bovidae";"Terrestrial";
"Carassius auratus";"Animalia";"Chordata";"Actinopterygii";"Cypriniformes";"Cyprinidae";"Freshwater";
"Cardamine flexuosa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Capparales";"Brassicaceae";"Terrestrial";
"Carijoa riisei";"Animalia";"Cnidaria";"Anthozoa";"Alcyonacea";"Clavulariidae";"Marine";
"Carpobrotus edulis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Aizoaceae";"Terrestrial";
"Castilla elastica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Urticales";"Moraceae";"Terrestrial";
"Casuarina equisetifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Casuarinales";"Casuarinaceae";"Terrestrial";
"Caulerpa taxifolia";"Plantae";"Chlorophyta";"Chlorophyceae";"Caulerpales";"Caulerpaceae";"Marine";
"Caulerpa webbiana";"Plantae";"Chlorophyta";"Chlorophyceae";"Caulerpales";"Caulerpaceae";"Marine";
"Cecropia peltata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Urticales";"Cecropiaceae";"Terrestrial";
"Cecropia schreberiana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Urticales";"Cecropiaceae";"Terrestrial";
"Cedrela odorata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Sapindales";"Meliaceae";"Terrestrial";
"Cenchrus ciliaris";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Cenchrus setaceus";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Ceratitis capitata";"Animalia";"Arthropoda";"Insecta";"Diptera";"Tephritidae";"Terrestrial";
"Cercopithecus mona";"Animalia";"Chordata";"Mammalia";"Primates";"Cercopithecidae";"Terrestrial";
"Cervus elaphus";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Cervidae";"Terrestrial";
"Cestrum nocturnum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Solanales";"Solanaceae";"Terrestrial";
"Charybdis hellerii";"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Portunidae";"Marine_terrestrial";
"Chromolaena odorata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Chrysobalanus icaco";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rosales";"Chrysobalanaceae";"Terrestrial";
"Chthamalus proteus";"Animalia";"Arthropoda";"Maxillopoda";"Sessilia";"Chthamalidae";"Terrestrial";
"Cichla ocellaris";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Cichlidae";"Freshwater";
"Cinnamomum camphora";"Plantae";"Magnoliophyta";"Magnoliopsida";"Laurales";"Lauraceae";"Terrestrial";
"Cinnamomum verum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Laurales";"Lauraceae";"Terrestrial";
"Citharexylum spinosum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Verbenaceae";"Terrestrial";
"Clidemia hirta";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Melastomataceae";"Terrestrial";
"Coccinia grandis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Violales";"Cucurbitaceae";"Terrestrial";
"Colubrina asiatica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rhamnales";"Rhamnaceae";"Terrestrial";
"Columba livia";"Animalia";"Chordata";"Aves";"Columbiformes";"Columbidae";"Terrestrial";
"Corvus splendens";"Animalia";"Chordata";"Aves";"Passeriformes";"Corvidae";"Terrestrial";
"Crepidula fornicata";"Animalia";"Mollusca";"Gastropoda";"Neotaenioglossa";"Calyptraeidae";"Marine";
"Cryptostegia grandiflora";"Plantae";"Magnoliophyta";"Magnoliopsida";"Gentianales";"Asclepiadaceae";"Terrestrial";
"Cryptostegia madagascariensis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Gentianales";"Asclepiadaceae";"Terrestrial";
"Ctenopharyngodon idella";"Animalia";"Chordata";"Actinopterygii";"Cypriniformes";"Cyprinidae";"Freshwater";
"Cynodon dactylon";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Cyperus rotundus";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Cyperaceae";"Terrestrial";
