Code,Species,superkingdom,kingdom,phylum,superclass,class,order,family,genus,species
bel,Belonidae,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Beloniformes,Belonidae,,
eme,Eucinostomus melanopterus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Gerreiformes ,Gerreidae,Eucinostomus,Eucinostomus melanopterus
gci,Gerres cinereus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Gerreiformes,Gerreidae,Gerres,Gerres cinereus
hfl,Haemulon flavolineatum,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Lutjaniformes,Haemulidae,Haemulon,Haemulon flavolineatum
hpa,Haemulon parra,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Lutjaniformes,Haemulidae,Haemulon,Haemulon parra
hpl,Haemulon plumierii,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Lutjaniformes,Haemulidae,Haemulon,Haemulon plumierii
hst,Haemulon steindachneri,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Lutjaniformes,Haemulidae,Haemulon,Haemulon steindachneri
hbi,Halichoeres bivittatus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Labriformes,Labridae,Halichoeres,Halichoeres bivittatus
hpu,Hypoplectrus puella,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Perciformes,Serranidae,Hypoplectrus,Hypoplectrus puella
lan,Lutjanus analis,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus analis
lap,Lutjanus apodus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus apodus
lcy,Lutjanus cyanopterus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus cyanopterus
lgr,Lutjanus griseus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus griseus
ljo,Lutjanus jocu,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus jocu
sba,Sphyraena barracuda,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,,Sphyraenidae,Sphyraena,Sphyraena barracuda
cla,Caranx latus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Carangiformes,Carangidae,Caranx,Caranx latus
cca,Chaetodon capistratus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Chaetodontiformes,Chaetodontidae,Chaetodon,Chaetodon capistratus
hmac,Haemulon macrostomum,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Lutjaniformes,Haemulidae,Haemulon,Haemulon macrostomum
par,Pomacanthus arcuatus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,,Pomacanthidae,Pomacanthus,Pomacanthus arcuatus
cro,Canthigaster rostrata,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Tetraodontiformes,Tetraodontidae,Canthigaster,Canthigaster rostrata
coc,Chaetodon ocellatus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Chaetodontiformes,Chaetodontidae,Chaetodon,Chaetodon ocellatus
cgl,Coryphopterus glaucofraenum,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Gobiiformes,Gobiidae,Coryphopterus,Coryphopterus glaucofraenum
cpe,Coryphopterus personatus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Gobiiformes,Gobiidae,Coryphopterus,Coryphopterus personatus
hni,Hypoplectrus nigricans,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Perciformes,Serranidae,Hypoplectrus,Hypoplectrus nigricans
sis,Scarus iseri,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Labriformes,Scaridae,Scarus,Scarus iseri
sti,Serranus tigrinus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Perciformes,Serranidae,Serranus,Serranus tigrinus
sdi,Stegastes diencaeus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,,Pomacentridae,Stegastes,Stegastes diencaeus
spa,Stegastes partitus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,,Pomacentridae,Stegastes,Stegastes partitus
spl,Stegastes planifrons,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,,Pomacentridae,Stegastes,Stegastes planifrons
asa,Abudefduf saxatilis,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,,Pomacentridae,Abudefduf,Abudefduf saxatilis
eil,Elacatinus illecebrosus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Gobiiformes,Gobiidae,Elacatinus,Elacatinus illecebrosus
hge,Hypoplectrus gemma,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Perciformes,Serranidae,Hypoplectrus,Hypoplectrus gemma
str,Scarus trispinosus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Labriformes,Scaridae,Scarus,Scarus trispinosus
lsy,Lutjanus synagris,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus synagris
msi,Microgobius signatus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Gobiiformes,Gobiidae,Microgobius,Microgobius signatus
blenny,Blenniid spp.,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Blenniiformes ,Blenniidae,,
euc,Eucinostomus spp.,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Gerreiformes,Gerreidae,Eucinostomus,
mmi,Microgobius microlepis,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Gobiiformes,Gobiidae,Microgobius,Microgobius microlepis
ene,Echeneis neucratoides,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Carangiformes,Echeneidae,Echeneis,Echeneis neucratoides
mme,Microgobius meeki,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Perciformes,Gobiidae,Microgobius,Microgobius meeki
hsp,Haemulon spp.,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Lutjaniformes,Haemulidae,Haemulon,
osa,Oligoplites saurus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Carangiformes,Carangidae,Oligoplites,Oligoplites saurus
csp,Clupeid spp.,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Clupeiformes,Clupeidae,,
csp4,Clupeid spp.,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Clupeiformes,Clupeidae,,
dam,Dasyatis americana,Eukarya,Metazoa,Chordata,Chondrichthyes,Chondrichthyes,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis americana
nbr,Narcine brasiliensis,Eukarya,Metazoa,Chordata,Chondrichthyes,Chondrichthyes,Torpediniformes,Narcinidae,Narcine,Narcine brasiliensis
sto,Serranus tortugarum,Eukarya,Metazoa,Chordata,Actinopterygii,Teleostei,Perciformes,Serranidae,Serranus,Serranus tortugarum
csp2,Clupeid spp.,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Clupeiformes,Clupeidae,,
gni,Gambusia nicaraguensis,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia nicaraguensis
hyp,Hypoplectrus spp.,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Perciformes,Serranidae,Hypoplectrus,
hca,Haemulon carbonarium,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Lutjaniformes,Haemulidae,Haemulon,Haemulon carbonarium
sad,Stegastes adustus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,,Pomacentridae,Stegastes,Stegastes adustus
