Site,Habitat,Subsite,weedpop24_Z,squidpop24_Z,spongeAFDW_Z,mangrove_AG_biomass,mangrove_AG_biomass_Z,HAS_Zscore
ALR,M,ALR-M,0.857253908,-0.670123679,2.2267124,273.840377,0.5222614,0.47896
CCR,M,CCR-M,0.472177286,-1.44376839,-0.0770834,96.35382391,-0.8803344,2.5012355
IPI,M,IPI-M,-0.518019741,1.208727759,0.43289593,218.4472579,0.0845147,-1.0111378
MAR,M,MAR-M,-0.518019741,-1.337668544,-0.90681364,143.909765,-0.5045213,-0.2660889
MYS,M,MYS-M,-0.518019741,-0.170570239,-0.91131948,516.8844116,2.4429282,-0.2660889
PJN,M,PJN-M,-0.242965011,0.890428221,,104.0363929,-0.8196225,-0.5853956
PPR,M,PPR-M,-1.068129201,0.041629453,-0.40936873,94.53599717,-0.8946998,0.3725244
PST,M,PST-M,2.507582287,0.147729299,1.0420857,123.4342258,-0.6663302,0.9047022
ROL,M,ROL-M,-1.068129201,0.890428221,-0.09994031,184.071004,-0.1871453,-0.5853956
SCR,M,SCR-M,0.582199178,-1.337668544,-0.64948913,131.6397377,-0.6014858,-0.9047022
SGN,M,SGN-M,-0.518019741,1.208727759,-1.13022145,350.112027,1.1250017,0.2660889
SIS,M,SIS-M,0.032089718,0.572128683,0.48254211,255.7666887,0.3794332,-0.9047022
ALR,S,ALR-S,-0.253606234,1.30459598,2.2267124,273.840377,0.5222614,0.47896
CCR,S,CCR-S,-0.438578151,-0.743641933,-0.0770834,96.35382391,-0.8803344,2.5012355
IPI,S,IPI-S,-0.253606234,-0.871656803,0.43289593,218.4472579,0.0845147,-1.0111378
MAR,S,MAR-S,-0.623550068,-0.615627064,-0.90681364,143.909765,-0.5045213,-0.2660889
MYS,S,MYS-S,-0.623550068,-0.871656803,-0.91131948,516.8844116,2.4429282,-0.2660889
PJN,S,PJN-S,-0.623550068,-0.743641933,,104.0363929,-0.8196225,-0.5853956
PPR,S,PPR-S,-0.179617467,0.024447284,-0.40936873,94.53599717,-0.8946998,0.3725244
PST,S,PST-S,2.520972523,1.816655458,1.0420857,123.4342258,-0.6663302,0.9047022
ROL,S,ROL-S,-0.428842787,-0.615627064,-0.09994031,184.071004,-0.1871453,-0.5853956
SCR,S,SCR-S,-0.623550068,-0.615627064,-0.64948913,131.6397377,-0.6014858,-0.9047022
SGN,S,SGN-S,-0.068634317,1.395273178,-1.13022145,350.112027,1.1250017,0.2660889
SIS,S,SIS-S,1.596112938,0.536506762,0.48254211,255.7666887,0.3794332,-0.9047022
