Class	Order	Family	Genus/Species	Common Name	 	
	Trichoplacida	Trichoplacidae	Trichoplax adhaerans			
Calcarea	Clathrinida	Clathrinidae	Clathrina primordialis			
Calcarea	Clathrinida	Leucettidae	Leucetta floridana		 	
Demospongiae	Halichondrida	Heteroxyidae	Myrmekioderma rea		 	
Demospongiae	Agelasida	Agelasidae	Agelas clathrodes	Elephant ear sponge		
Demospongiae	Agelasida	Agelasidae	Agelas conifera	Brown tube sponge		
Demospongiae	Agelasida	Agelasidae	Agelas dispar			
Demospongiae	Astrophorida	Ancorinidae	Asteropus sp.		 	
Demospongiae	Astrophorida	Ancorinidae	Ecionemia megastylifera		 	
Demospongiae	Astrophorida	Ancorinidae	Penares schulzei			
Demospongiae	Astrophorida	Ancorinidae	Penares sp.		 	
Demospongiae	Astrophorida	Ancorinidae	Stelletta sp. 1		 	
Demospongiae	Astrophorida	Ancorinidae	Stelletta sp. 2		 	
Demospongiae	Astrophorida	Geodiidae	Erylus formosus			
Demospongiae	Astrophorida	Geodiidae	Geodia papyraceae			
Demospongiae	Astrophorida	Geodiidae	Geodia sp.		 	
Demospongiae	Chondrosida	Chondrillidae	Chondrosia collectrix			
Demospongiae	Dendroceratida	Aplysellidae	Igernella notabilis		 	
Demospongiae	Dendroceratida	Darwinellidae	Chelonaplysilla erecta			
Demospongiae	Dendroceratida	Dictyodendrillidae	Megalopastas sp.		 	
Demospongiae	Dendroceratida	Dysideidae	Dysidea etheria			
Demospongiae	Dendroceratida	Dysideidae	Dysidea sp. (thin sheets)		 	
Demospongiae	Dictyoceratida	Irciniidae	Ircinia campana			
Demospongiae	Dictyoceratida	Irciniidae	Ircinia felix	Stinker sponge		
Demospongiae	Dictyoceratida	Irciniidae	Ircinia sp. a		 	
Demospongiae	Dictyoceratida	Irciniidae	Ircinia sp. b		 	
Demospongiae	Dictyoceratida	Irciniidae	Ircinia sp. ramose			
Demospongiae	Dictyoceratida	Irciniidae	Ircinia strobilina	Black- Ball Sponge		
Demospongiae	Dictyoceratida	Spongiidae	Hyattella cavernosa		 	
Demospongiae	Dictyoceratida	Spongiidae	Hyattella intestinalis		 	
Demospongiae	Dictyoceratida	Spongiidae	Spongia pertusa			
Demospongiae	Dictyoceratida	Spongiidae	Spongia tubulifera			
Demospongiae	Dictyoceratida	Thorectidae	Hyrtios proteus			
Demospongiae	Dictyoceratida	Thorectidae	Hyrtios sp.		 	
Demospongiae	Hadromerida	Chondrillidae	Chondrilla nucula	Chicken liver sponge		
Demospongiae	Hadromerida	Chondrillidae	Chondrosia reniformis		 	
Demospongiae	Hadromerida	Chondrillidae	Chondrosia sp.		 	
Demospongiae	Hadromerida	Clionaidae	Cervicornia cuspidifera	Antler Sponge	 	
Demospongiae	Hadromerida	Clionaidae	Cliona aprica		 	
Demospongiae	Hadromerida	Clionaidae	Cliona caribbaea			
Demospongiae	Hadromerida	Clionaidae	Cliona delitrix	Red boaring sponge		
Demospongiae	Hadromerida	Clionaidae	Cliona langae		 	
Demospongiae	Hadromerida	Clionaidae	Cliona tenuis			
Demospongiae	Hadromerida	Clionaidae	Cliona varians	Brown variable sponge	 	
Demospongiae	Hadromerida	Clionaidae	Spheciospongia vesparium	Loggerhead Sponge		
Demospongiae	Hadromerida	Clionidae	Tetractinomorpha sp.		 	
Demospongiae	Hadromerida	Placospongiidae	Placospongia intermedia			
Demospongiae	Hadromerida	Placospongiidae	Placospongia melobdeoides		 	
Demospongiae	Hadromerida	Polymastiidae	Polymastia sp.		 	
Demospongiae	Hadromerida	Spirastrellidae	Spirastrella cf. mollis			
Demospongiae	Hadromerida	Spirastrellidae	Spirastrella coccinea	Pink and red encrusting sponge		
Demospongiae	Hadromerida	Spirastrellidae	Spirastrella hartmani			
Demospongiae	Hadromerida	Suberitidae	Prosuberites laughlini			
Demospongiae	Hadromerida	Suberitidae	Protosuberites sp.		 	
Demospongiae	Hadromerida	Suberitidae	Suberites aurantiacus		 	
Demospongiae	Hadromerida	Suberitidae	Terpios manglaris		 	
Demospongiae	Hadromerida	Suberitidae	Terpios sp.			
Demospongiae	Hadromerida	Tethyidae	Techitethya crypta		 	
Demospongiae	Hadromerida	Tethyidae	Tectitethya keyensis		 	
Demospongiae	Hadromerida	Tethyidae	Tethya actinia		 	
Demospongiae	Hadromerida	Tethyidae	Tethya aff. seychellensis		 	
Demospongiae	Hadromerida	Tethyidae	Tethya crypta		 	
Demospongiae	Hadromerida	Tethyidae	Tethya sp. a		 	
Demospongiae	Hadromerida	Tethyidae	Tethya sp.b		 	
Demospongiae	Hadromerida	Timeidae	Diplastrella megastellata	Red-orange ensrusting sponge	 	
Demospongiae	Halichondrida	Axinellidae	Axinella corrugata		 	
Demospongiae	Halichondrida	Axinellidae	Axinellidae sp.		 	
Demospongiae	Halichondrida	Axinellidae	Dragmacidon lunaecharta		 	
Demospongiae	Halichondrida	Axinellidae	Dragmacidon reticulatum			
Demospongiae	Halichondrida	Axinellidae	Dragmaxia cf. undata		 	
Demospongiae	Halichondrida	Axinellidae	Ptilocaulis walpersi	Red/Orange Branching Sponge	 	
Demospongiae	Halichondrida	Dictyonellidae	Scopalina ruetzleri	Orange lumpy encrusting sponge		
Demospongiae	Halichondrida	Dictyonellidae	Svenzea zeai			
Demospongiae	Halichondrida	Halichondriidae	Halichondria lutea			
Demospongiae	Halichondrida	Halichondriidae	Halichondria magniconulosa			
Demospongiae	Halichondrida	Halichondriidae	Hymeniacidon caerulea		 	
Demospongiae	Halichondrida	Halichondriidae	Petromica ciocalyptoides		 	
Demospongiae	Halichondrida	Heteroxyidae	Myrmekioderma gyroderma		 	
Demospongiae	Halichondriida	Halichondriidae	Halichondria melanodocia			
Demospongiae	Halisarcida	Halisarcidae	Halisarca caerulea			
Demospongiae	Halisarcida	Halisarcidae	Halisarca sp.			
Demospongiae	Haplosclerida	Callyspongiidae	Callyspongia armigera		 	
Demospongiae	Haplosclerida	Callyspongiidae	Callyspongia fallax		 	
