,ID,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,species
039d59a0073123379f2d2c1eadb56dc57444bace,Eucinostomus argenteus,Eukaryota,Metazoa,Chordata,Actinopteri,Gerreiformes,Gerreidae,Eucinostomus,Eucinostomus argenteus
061028bf23054a568164cf3194f70802e09eece5,Anchoa lamprotaenia,Eukaryota,Metazoa,Chordata,Actinopteri,Clupeiformes,Engraulidae,Anchoa,Anchoa lamprotaenia
06733102fffb47f76e34eaabcb48fd9d27f2e40c,Cerdale floridana,Eukaryota,Metazoa,Chordata,Actinopteri,Gobiiformes,Gobiidae,Cerdale,Cerdale floridana
09b1e4859260882da564d791746051f2d2b217e3,Scarus iseri,Eukaryota,Metazoa,Chordata,Actinopteri,Labriformes,Labridae,Scarus,Scarus iseri
0ce315b74129c1b8039aa212714d11ed12b73c37,Coryphopterus glaucofraenum,Eukaryota,Metazoa,Chordata,Actinopteri,Gobiiformes,Gobiidae,Coryphopterus,Coryphopterus glaucofraenum
11ce2831901a097f7dbd3cce2d4764c9d4592ca2,Oligoplites saurus,Eukaryota,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Oligoplites,Oligoplites saurus
11dd17b7cacff7af46061ac6e6e9802534b6f9fd,Caranx hippos,Eukaryota,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Caranx,Caranx hippos
12fdb5d4d91cc0cf64ac255598dabd29655a4c25,Atherinomorus stipes,Eukaryota,Metazoa,Chordata,Actinopteri,Atheriniformes,Atherinidae,Atherinomorus,Atherinomorus stipes
159619a4d965a3cdf6fbaba0a9edb317ea53a1ff,Hypleurochilus geminatus,Eukaryota,Metazoa,Chordata,Actinopteri,Blenniiformes,Blenniidae,Hypleurochilus,Hypleurochilus geminatus
186722bd7226d273e73a8e9073d3e76b3bdb52e8,Haemulon steindachneri,Eukaryota,Metazoa,Chordata,Actinopteri,Lutjaniformes,Haemulidae,Haemulon,Haemulon steindachneri
18794fa53a2ffb69bccea444a373c4b3948e6fbb,Sanopus greenfieldorum,Eukaryota,Metazoa,Chordata,Actinopteri,Batrachoidiformes,Batrachoididae,Sanopus,Sanopus greenfieldorum
19b383ea632cb0c981580f14b229841a55e555c2,Lutjanus analis,Eukaryota,Metazoa,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus analis
1f19adbd7b1f8067e9184fd8dc2bc54913d9b5b7,Sparisoma chrysopterum,Eukaryota,Metazoa,Chordata,Actinopteri,Labriformes,Labridae,Sparisoma,Sparisoma chrysopterum
221a4b33e9bf78624f86c9a7610c0e6791566a4c,Phaeoptyx xenus,Eukaryota,Metazoa,Chordata,Actinopteri,Kurtiformes,Apogonidae,Phaeoptyx,Phaeoptyx xenus
256fedc8aca72ee7acb1831483161ad29d447821,Eucinostomus jonesii,Eukaryota,Metazoa,Chordata,Actinopteri,Gerreiformes,Gerreidae,Eucinostomus,Eucinostomus jonesii
28706b7ddd116382bbbd392942951c38c2cf8e94,Lutjanus apodus,Eukaryota,Metazoa,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus apodus
2a0a61af14c61afc09ffe488c6ed7eda8c6f269d,Haemulon flavolineatum,Eukaryota,Metazoa,Chordata,Actinopteri,Lutjaniformes,Haemulidae,Haemulon,Haemulon flavolineatum
2a1b62b021ba97fbdf92e46775d241fae2dfdf2f,Actinopteri,Eukaryota,Metazoa,Chordata,Actinopteri,,,,
2c09e2c483135a0c7c824c3e3cc9237685cae7be,Eucinostomus gula,Eukaryota,Metazoa,Chordata,Actinopteri,Gerreiformes,Gerreidae,Eucinostomus,Eucinostomus gula
2d20e578d5e1d2b5b044bc617a9b4d6b2524b43d,Chaetodon striatus,Eukaryota,Metazoa,Chordata,Actinopteri,Chaetodontiformes,Chaetodontidae,Chaetodon,Chaetodon striatus
