,ID,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,species
0001e97f36c5450800fb27a980ffa0e556343882,Metazoa,Eukaryota,Metazoa,,,,,,
001ae67aec7db703145e1b80fec8f45fea6b3a22,Pennariidae,Eukaryota,Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Pennariidae,,
0022de8adc42c075a518a41ef6dbb525861c6c19,Coleoptera,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,,,
00267a2ed022afea84f13e426b5f1b59dbf717df,Metazoa,Eukaryota,Metazoa,,,,,,
002a9bedfe4ae5fe72b2ea6ec9cb002e5f739712,Metazoa,Eukaryota,Metazoa,,,,,,
004047e424f852203fe300551921aea5a1b31463,Arthropoda,Eukaryota,Metazoa,Arthropoda,,,,,
0040eb14a9b02fd4ebb8625b51bf59ead344655a,Metazoa,Eukaryota,Metazoa,,,,,,
004d5af92211750bf4dd89b121cfd87681e2a485,Porifera,Eukaryota,Metazoa,Porifera,,,,,
00579665c3b1e9c5fe46d198424b1e3bdac933ae,Sepiidae,Eukaryota,Metazoa,Mollusca,Cephalopoda,Sepiida,Sepiidae,,
00639d5c06e9d5bc3c34aa6bfb44554136fc9ba9,Ascidiidae,Eukaryota,Metazoa,Chordata,Ascidiacea,Enterogona,Ascidiidae,,
0068ebda9c9afeccd5ea53086bf891573498afbe,Metazoa,Eukaryota,Metazoa,,,,,,
006c6da4cda87201bb203ac307a80cd755e29c23,Cnidaria,Eukaryota,Metazoa,Cnidaria,,,,,
007192c0db6f01ac21a6e56e6073a19ef0a15bd7,Cnidaria,Eukaryota,Metazoa,Cnidaria,,,,,
00752d079c4062df355d3f251d9b44fff7da8088,Metazoa,Eukaryota,Metazoa,,,,,,
007c311455c19501fda34ed803610e4adabd0630,Metazoa,Eukaryota,Metazoa,,,,,,
008c0d9d1c2a98f1f8f1f29b257bfe2825627469,Bucephalidae,Eukaryota,Metazoa,Platyhelminthes,Trematoda,Strigeidida,Bucephalidae,,
00abe87fc8c784db963880f98515f1bdd16d10df,Gymnolaemata,Eukaryota,Metazoa,Bryozoa,Gymnolaemata,,,,
00b22e8a723561f7789ee8ed6995f38b4cdd7f9a,Metazoa,Eukaryota,Metazoa,,,,,,
00b296f207cb277361ae1c11ab4d6af2636eee41,Lysianassidae,Eukaryota,Metazoa,Arthropoda,Malacostraca,Amphipoda,Lysianassidae,,
00c4f3887cf9269404935bd7d5f1de9fc9d48146,Arthropoda,Eukaryota,Metazoa,Arthropoda,,,,,
00c5728c32b6baba3063b3ae329a16410e2a2cd6,Cnidaria,Eukaryota,Metazoa,Cnidaria,,,,,
00c8673eeeaef8ffb34bfa45f47017fdfaf53abe,Acoela,Eukaryota,Metazoa,Xenacoelomorpha,Acoela,,,,
00ce99fed92486d2e3ad70ad76fa53e06cb07e6c,Metazoa,Eukaryota,Metazoa,,,,,,
00d29fb0741fa2d631106355095f0ecc3b27234a,Metazoa,Eukaryota,Metazoa,,,,,,
00d4e44a95cf019a85969ca146e1bb02ab1308ac,Ceratopogonidae,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Ceratopogonidae,,
00dd9c08f7836a6e9574e4e144d21c57e4576482,Araneae,Eukaryota,Metazoa,Arthropoda,Arachnida,Araneae,,,
00e65a717b334e5e84f37143196140eb9f657798,Arthropoda,Eukaryota,Metazoa,Arthropoda,,,,,
0100fe0e50ab1109bf2a681b81e14f772d18068b,Metazoa,Eukaryota,Metazoa,,,,,,
01055e00d40397aaeeb7650de8530a785a563679,Alcyoniidae,Eukaryota,Metazoa,Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,,
010c901f7460e0fba857d9cacf3c2c59c2f11a45,Metazoa,Eukaryota,Metazoa,,,,,,
0126a19455b6abbadad4b33df81a9f08b20659a2,Metazoa,Eukaryota,Metazoa,,,,,,
0126d9c9366bd528676ae82b87ff3bd4f904559f,Syllidae,Eukaryota,Metazoa,Annelida,Polychaeta,Phyllodocida,Syllidae,,
0135e0b4b5a844f2200a9e4d7ed0836d429f359c,Raspailiidae,Eukaryota,Metazoa,Porifera,Demospongiae,Axinellida,Raspailiidae,,
013c2d3a3eb9ac7a77fa39487191bd06266504a9,Metazoa,Eukaryota,Metazoa,,,,,,
013e167a2eb7ed33868cf3abcbe2165d2afdc4e7,Metazoa,Eukaryota,Metazoa,,,,,,
0158e7f11edc5e73ec16601cd579070f3ec16a90,Metazoa,Eukaryota,Metazoa,,,,,,
015eb501ff60ecde11974f07753cfb78c184a183,Ophiurida,Eukaryota,Metazoa,Echinodermata,Ophiuroidea,Ophiurida,,,
0165ef94a39c53df5e6352cca7737056758819a8,Arthropoda,Eukaryota,Metazoa,Arthropoda,,,,,
016685246ac05d4be29054f6e25025f002b4c37a,Diptera,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,,,
01688396b3aada963332e9a196a88c9eaf968277,Arthropoda,Eukaryota,Metazoa,Arthropoda,,,,,
016f469bf39b8b2e3c9165a4d9c677e163f5a2a5,Ophiuroidea,Eukaryota,Metazoa,Echinodermata,Ophiuroidea,,,,
017dce627492e5f0da8f3cca5a763fa9ae33c570,Pocilloporidae,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,,
01822ca5c3911b04b7b5f99ae914fa45498e32a5,Ochlerotatus angustivittatus,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Ochlerotatus,Ochlerotatus angustivittatus
01860a885f3fdc2aa9c49e1d07d90069d4ad27eb,Metazoa,Eukaryota,Metazoa,,,,,,
0187be9ab1e8fab156a8c0ad58ef8836ad2eeb7f,Proceraea fasciata,Eukaryota,Metazoa,Annelida,Polychaeta,Phyllodocida,Syllidae,Proceraea,Proceraea fasciata
01a16f8948efc486fca8c15a04f3fa70c19112a1,Metazoa,Eukaryota,Metazoa,,,,,,
01a3a0dd1950d7896500aa82c796cd0c76d7de77,Arthropoda,Eukaryota,Metazoa,Arthropoda,,,,,
01a78cb681af2c358ca1a05dcfa7f6b2ce75cc78,Lysianassidae,Eukaryota,Metazoa,Arthropoda,Malacostraca,Amphipoda,Lysianassidae,,
01a94e7f692f2b1fffdc5f72688f14995d857b47,Metazoa,Eukaryota,Metazoa,,,,,,
01b0271a9e106c42df942d56ae4276b05af6719a,Insecta,Eukaryota,Metazoa,Arthropoda,Insecta,,,,
01b378f4ea67a84394282e581471bf305395b8bf,Muricea fruticosa,Eukaryota,Metazoa,Cnidaria,Anthozoa,Alcyonacea,Plexauridae,,Muricea fruticosa
01c25771e7156d824663ff6ef69d76d61ef95fbd,Antrodiaetidae,Eukaryota,Metazoa,Arthropoda,Arachnida,Araneae,Antrodiaetidae,,
01dda43545ed0f6bd9f5e3881c0c57d9fa4c1ce3,Polycladida,Eukaryota,Metazoa,Platyhelminthes,,Polycladida,,,
01e1f3399a3d6e4ae43164544ebc4e1a05b800c0,Apidae,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,,
01e9ec0cd2ddf44d5e7d5d3ec5a44b5285c248f2,Arachnida,Eukaryota,Metazoa,Arthropoda,Arachnida,,,,
01ff55ece065cd6516adadacbb5f869dfbaa0f00,Insecta,Eukaryota,Metazoa,Arthropoda,Insecta,,,,
02059ce685d266946b73d36ea94a2505319cde43,Metazoa,Eukaryota,Metazoa,,,,,,
021a3473092e1c9c72b637454b7df0cd4de5bc1e,Acroporidae,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Acroporidae,,
02201d3d8b705bc47968827ade3d59bf8a0bf2d0,Metazoa,,Metazoa,,,,,,
022d32e57c16403e4921a0b2d945ca11513d6313,Arthropoda,Eukaryota,Metazoa,Arthropoda,,,,,
02341cef6a90bd79adb9d9914b1f0e39c163cfd6,Cnidaria,Eukaryota,Metazoa,Cnidaria,,,,,
02354e851faa99cfd0071723df5771ec38b78c6b,Pocilloporidae,Eukaryota,Metazoa,,,Scleractinia,Pocilloporidae,,
023a4500e391764fbe908f77513d8950340638cf,Metazoa,Eukaryota,Metazoa,,,,,,
024408645492280225761a0bd43660b68ebff4a7,Metazoa,Eukaryota,Metazoa,,,,,,
024871c1a8231701503ca0d8c8c749afc405e993,Cnidaria,Eukaryota,Metazoa,Cnidaria,,,,,
024bf0a0f2c4e9d5d5132700ab5274f3d0ba63ee,Metazoa,Eukaryota,Metazoa,,,,,,
024c9d5d9537214d7d30ad961438a1b52945d54d,Syllidae,Eukaryota,Metazoa,Annelida,Polychaeta,Phyllodocida,Syllidae,,
0265082a9f4768dda65d7abea59621ec16a1d0eb,Metazoa,Eukaryota,Metazoa,,,,,,
026d93a876640d4e4564acc559354054c0835d05,Metazoa,Eukaryota,Metazoa,,,,,,
026e58e9a739672f1c1fedab283b7545a32b67b1,Metazoa,Eukaryota,Metazoa,,,,,,
0274c5b07eeca9881de1aa35d517f90c2d0a274c,Haliclystidae,Eukaryota,Metazoa,Cnidaria,Staurozoa,Stauromedusae,Haliclystidae,,
027579a3975d4178695c5eeadede640379343548,Metazoa,,Metazoa,,,,,,
02897d34a0e138a842ec5493a1b7523a131d737b,Metazoa,,Metazoa,,,,,,
028d4352cfb092d212dfff297e1214dae6827c0b,Metazoa,Eukaryota,Metazoa,,,,,,
0292f0a25f08ed207b64c73dfb4a33a177294bca,Cnidaria,Eukaryota,Metazoa,Cnidaria,,,,,
0299926b98c4263e05c8021211a7c67984e7359a,Pelagiidae,Eukaryota,Metazoa,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,,
029e20e6e9e72d7388dbc399a398edd3e6d525c1,Campanulariidae,Eukaryota,Metazoa,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,,
029ef14ec52d7d2be142d10c866a2337426bcd48,Metazoa,Eukaryota,Metazoa,,,,,,
02a14ed12a520b03e6b6a1025075cad68aef597d,Annelida,Eukaryota,Metazoa,Annelida,,,,,
02a2fb3ebdfa7e0c66ede5061bbd00c94b71e32c,Metazoa,Eukaryota,Metazoa,,,,,,
02a32a28ae972bbeeb311998ee5f1ceda6dba799,Acoela,Eukaryota,Metazoa,Xenacoelomorpha,Acoela,,,,
02a6657076258b1d70755ac0b54b35cf37f78572,Noctuidae,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,,
02b6a7790353f8428de43b29f418914eb2bfefde,Annelida,Eukaryota,Metazoa,Annelida,,,,,
02bb9d365ff581c5a9478be0cbd775b648f76a50,Metazoa,Eukaryota,Metazoa,,,,,,
02bc9bc97371c5e4b430ac8bc0130c9bf23b0623,Metazoa,Eukaryota,Metazoa,,,,,,
02bda55e106e63571fa10a60bc7effd29ae54c87,Metazoa,Eukaryota,Metazoa,,,,,,
02be9080d57151f24bd0ae9dd961ca495facf699,Araneae,Eukaryota,Metazoa,Arthropoda,Arachnida,Araneae,,,
02c00f0e6ec2e1fa22b7ecd210056e361b8fbcfd,Tachinidae,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Tachinidae,,
02c051f73d91c911d5c9f019b6f3f9e19a8cd72f,Metazoa,Eukaryota,Metazoa,,,,,,
02d909232687d61c41e166fcb6cd249248b541a0,Sepioteuthis lessoniana,Eukaryota,Metazoa,Mollusca,Cephalopoda,Teuthida,Loliginidae,Sepioteuthis,Sepioteuthis lessoniana
02e161166428f74ea6b2772dc7a1170a951cb233,Insecta,Eukaryota,Metazoa,Arthropoda,Insecta,,,,
02ef8de378c9808b7ed55a38828533cd8d14837b,Arthropoda,Eukaryota,Metazoa,Arthropoda,,,,,
02fc8fdd5b56e69e76111586100f15dd1c038628,Metazoa,,Metazoa,,,,,,
03027fb43b13b65c32109b9431c9908137e32378,Ophiuroidea,Eukaryota,Metazoa,Echinodermata,Ophiuroidea,,,,
0304cf7377407a60d99a4af877237779657645e1,Isostichopus badionotus,Eukaryota,Metazoa,Echinodermata,Holothuroidea,Aspidochirotida,Stichopodidae,Isostichopus,Isostichopus badionotus
030d7c57a4d3b3b74ded54be63ff649a493ce425,Metazoa,Eukaryota,Metazoa,,,,,,
030fd1ae48adfbc7b258690eae1cb9fd9c347b2c,Arthropoda,Eukaryota,Metazoa,Arthropoda,,,,,
0311e8e864144174b62fe1173cb63cb3e4c75791,Stylommatophora,Eukaryota,Metazoa,Mollusca,Gastropoda,Stylommatophora,,,
031a32d18f991f07f88316fd626b7e5bfc864a76,Evaniidae,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Evaniidae,,
031ccbf9555b359ca5f8277c1ece89206cb54a5b,Petrolisthes armatus,Eukaryota,Metazoa,Arthropoda,Malacostraca,Decapoda,Porcellanidae,Petrolisthes,Petrolisthes armatus
03233ef3b65acc261ca1cd0d3fbad7af666dda04,Arthropoda,Eukaryota,Metazoa,Arthropoda,,,,,
0328a7560dd6c1f78027cb81041c979e9d4d2e53,Flabellidae,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Flabellidae,,
032d5ab6a5930e649382983f889f7ead473d00f2,Aphrophoridae,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphrophoridae,,
0336af4f18f88ce9ee68e2213a991635f0509c00,Synalpheus hoetjesi,Eukaryota,Metazoa,Arthropoda,Malacostraca,Decapoda,Alpheidae,Synalpheus,Synalpheus hoetjesi
033761c4d192adbf91e8f6a0325e7ee9d0252f2d,Metazoa,Eukaryota,Metazoa,,,,,,
037386b6a1746767deaf00da8c61c60b7e9679ef,Cnidaria,Eukaryota,Metazoa,Cnidaria,,,,,
037527f23704d901317f0e3b75bd8ce7705ebf9c,Lymnaeidae,Eukaryota,Metazoa,Mollusca,Gastropoda,,Lymnaeidae,,
03795f2c94aee41298eb75c0cf26bae98f3a806d,Metazoa,Eukaryota,Metazoa,,,,,,
037aebea3e1def1ab377a739ede3ba286beede22,Ascobulla ulla,Eukaryota,Metazoa,Mollusca,Gastropoda,,Volvatellidae,Ascobulla,Ascobulla ulla
03805ed2a17ccfbf8489b0eb6746c38849e5af5d,Metazoa,Eukaryota,Metazoa,,,,,,
0387e468cb890ced5ddfae8aa433570e1e236982,Metazoa,Eukaryota,Metazoa,,,,,,
038c6982d748b1168f87479dc4b36840d0aafa8d,Rickettsiaceae,,Metazoa,,,Rickettsiales,Rickettsiaceae,,
038d09de7210e3160cca4d876a7b0061e793f571,Macrotrichidae,Eukaryota,Metazoa,Arthropoda,,Diplostraca,Macrotrichidae,,
039d59a0073123379f2d2c1eadb56dc57444bace,Eucinostomus argenteus,Eukaryota,Metazoa,Chordata,Actinopteri,Gerreiformes,Gerreidae,Eucinostomus,Eucinostomus argenteus
039dce3394143940f86440e0ab4ad9d05c7ff590,Arthropoda,Eukaryota,Metazoa,Arthropoda,,,,,
03abd9bf01c4ec98b36339bbf090b2a907b3c536,Metazoa,Eukaryota,Metazoa,,,,,,
03af7ca6759c908ebbe4d18c7f30520906c1e298,Metazoa,Eukaryota,Metazoa,,,,,,
03b8b6f2b6452585f457e8025bd291fa2dfaa9da,Arthropoda,Eukaryota,Metazoa,Arthropoda,,,,,
03ba4ca45fd84039e4015a0186a78d51a2c41573,Metazoa,Eukaryota,Metazoa,,,,,,
03c03911ba605bf4b6eab53bd2987c46b922a2a2,Mycetophilidae,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Mycetophilidae,,
03c8aae093dad5df616b2804ea0c679c4c03b24b,Leptopontiidae,Eukaryota,Metazoa,Arthropoda,Hexanauplia,Harpacticoida,Leptopontiidae,,
03cce8d21d08519a02141fa49738556f67e142f6,Metazoa,Eukaryota,Metazoa,,,,,,
03dac69cca963dbb0f22760da2cfa84fbebefc83,Capitellidae,Eukaryota,Metazoa,Annelida,Polychaeta,Capitellida,Capitellidae,,
03df8d24b8a01eff733080d9fc037ad435b24afc,Arthropoda,Eukaryota,Metazoa,Arthropoda,,,,,
03e66d11d76e55a686afb7c5f0aae00f39792ae5,Metazoa,Eukaryota,Metazoa,,,,,,
03e9395dfde7440d189b96c57a656996774936c4,Metazoa,Eukaryota,Metazoa,,,,,,
03f53bca5e808c01c991e0fe599648c7d42a7481,Pythiaceae,Eukaryota,Metazoa,Arthropoda,,,Pythiaceae,,
040ac04eecb8a0c488459c5808416070cd4912a6,Metazoa,Eukaryota,Metazoa,,,,,,
040adde49778e062e6833bfde2be5c8b6d69e40b,Cnidaria,Eukaryota,Metazoa,Cnidaria,,,,,
0417223cbfe8cd9675544d30635218d1840b01cf,Metazoa,Eukaryota,Metazoa,,,,,,
041c7d6e356e35d599e60f156709f11eb0e9dd98,Metazoa,Eukaryota,Metazoa,,,,,,
0420abb45d18ed9a556dc467746d98c1dbc1b25a,Metazoa,Eukaryota,Metazoa,,,,,,
0427115513b835f5f9887cdec7b9e0c110bc63a1,Metazoa,Eukaryota,Metazoa,,,,,,
042944fbf817a68118e358cafdf1f912e1050ab9,Tubulariidae,Eukaryota,Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Tubulariidae,,
042a187ad0816e710710c0900f2fb8888c672bc5,Harpacticoida,Eukaryota,Metazoa,Arthropoda,Hexanauplia,Harpacticoida,,,
042d1f23b6613d5c6e2cbca33f658b28554780b7,Cnidaria,Eukaryota,Metazoa,Cnidaria,,,,,
044489ebe3f6f9f2cac1bbc37dfa39e457f62ba0,Metazoa,,Metazoa,,,,,,
044a9fa6bc52b06bdfd5755237cbfe18f2f52104,Metazoa,Eukaryota,Metazoa,,,,,,
044d2d9da9bcd9a845e2cb3da075d43cbcb9aab0,Florideophyceae,Eukaryota,Metazoa,Platyhelminthes,Florideophyceae,,,,
04563e915e35439d9cc7b1474e4caaa7d051b7c4,Cnidaria,Eukaryota,Metazoa,Cnidaria,,,,,
045abe54efeab935ebdc6aef80f72e71f2ea2bf5,Metazoa,Eukaryota,Metazoa,,,,,,
045b7f5e174e5e4505d38b8bb8f1ff6491915f4f,Metazoa,Eukaryota,Metazoa,,,,,,
04602a46717aa9e2ae0449c1324102e5a4e70404,Metazoa,Eukaryota,Metazoa,,,,,,
0463ab5b17afb7754570c60f09c7dd15815827e7,Gyrodactylidae,Eukaryota,Metazoa,Platyhelminthes,Monogenea,,Gyrodactylidae,,
046859190358d68f12f421124f4755d34a210eb3,Annelida,Eukaryota,Metazoa,Annelida,,,,,
046de5768c7de17a2ad0dca714db6ef371c6bb77,Branchiopoda,Eukaryota,Metazoa,Arthropoda,Branchiopoda,,,,
04721e03aa30c8d24a63c700f32477f190d15fcb,Mollusca,Eukaryota,Metazoa,Mollusca,,,,,
048192c644d2716bbf02c5a521c459746d13ad10,Metazoa,Eukaryota,Metazoa,,,,,,
04893e54c6d36bef59a080c392a07eb3e2fd9aac,Metazoa,Eukaryota,Metazoa,,,,,,
049695ca311d5b4169080202179b852e0ae0e542,Metazoa,Eukaryota,Metazoa,,,,,,
04983d99224ee5fd6892bed8dbf6c898a662833d,Pleuromamma abdominalis,Eukaryota,Metazoa,Arthropoda,Hexanauplia,Calanoida,,,Pleuromamma abdominalis
04a3bde180f29f3abe53a069fec505eb6b5477b7,Linhomoeidae,Eukaryota,Metazoa,Nematoda,Chromadorea,Monhysterida,Linhomoeidae,,
04af208402eb057f90f9ea1e19ecee194d215e0d,Metazoa,Eukaryota,Metazoa,,,,,,
04b43c3697ef50052e993975f8695fc2536b7139,Caryophylliidae,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,,
04b6779520ed2689552032df3134bf94c884c088,Arthropoda,Eukaryota,Metazoa,Arthropoda,,,,,
04b90ec6f607a0688cd0c03cadce66fba4afc121,Metazoa,Eukaryota,Metazoa,,,,,,
04c3a0c4ebfc12433cbf48e2c86d5467fa9044ce,Metazoa,Eukaryota,Metazoa,,,,,,
04d6dadcd407a2ed6a803e7855d138fb9df6a10d,Metazoa,Eukaryota,Metazoa,,,,,,
04fb7dfc10e0ad1e79a6578cc498067943b8addc,Metazoa,Eukaryota,Metazoa,,,,,,
04fdd88a734eb7baed6ed7f83876361010b0913a,Arthropoda,Eukaryota,Metazoa,Arthropoda,,,,,
04fe04f7dd58a03a6c7dd38fb473ed46ed1d3bec,Metazoa,Eukaryota,Metazoa,,,,,,
050be1a47ec783f6a3b420e554180ff890187fa9,Arthropoda,Eukaryota,Metazoa,Arthropoda,,,,,
