event	Site.Name	Ecosystem	Latitude	Longitude	Depth	Method	Block	datetime	Diver	BayRegion	Site.Code	Site.Code.2
Almirante Reef_6/19/17_1	Almirante Reef	Reef	9.28993	-82.34309	3	1	1	2017-06-19T18:00:00Z	Janina Seemann	Inner Bay	ALR-C	C-ALR
Almirante Reef_6/19/17_2	Almirante Reef	Reef	9.28993	-82.34309	3	1	2	2017-06-19T18:00:00Z	Will Wied	Inner Bay	ALR-C	C-ALR
Almirante Mangrove_6/19/17_1	Almirante Mangrove	Mangrove	9.295769	-82.345434	1	1	1	2017-06-19T15:00:00Z	Janina Seemann	Inner Bay	ALR-M	M-ALR
Almirante Mangrove_6/19/17_2	Almirante Mangrove	Mangrove	9.295769	-82.345434	1.5	1	2	2017-06-19T15:00:00Z	Will Wied	Inner Bay	ALR-M	M-ALR
Almirante Seagrass_6/19/17_1	Almirante Seagrass	Seagrass	9.290707	-82.342775	2	1	1	2017-06-19T15:00:00Z	Janina Seemann	Inner Bay	ALR-S	S-ALR
Almirante Sand_6/19/17_2	Almirante Sand	Sand	9.295675	-82.345643	2.5	1	2	2017-06-19T16:30:00Z	Will Wied	Inner Bay	ALR-Sa	Sa-ALR
Almirante Sand_7/12/17_1	Almirante Sand	Sand	9.295675	-82.345643	2.5	1	1	2017-07-12T18:15:00Z	Janina Seemann	Inner Bay	ALR-Sa	Sa-ALR
Almirante Sand_7/12/17_2	Almirante Sand	Sand	9.295675	-82.345643	3.5	1	2	2017-07-12T18:15:00Z	Will Wied	Inner Bay	ALR-Sa	Sa-ALR
Marina Carenero Dock_7/7/17_1	Marina Carenero Dock	Dock	9.34217	82.23582	4	1	1	2017-07-07T18:00:00Z	Janina Seemann	Outer Bay	CAR-D	D-CAR
Crawl Cay Reef_7/6/17_1	Crawl Cay Reef	Reef	9.265417	-82.119056	3.5	1	1	2017-07-06T16:40:00Z	Janina Seemann	Outside	CCR-C	C-CCR
Crawl Cay Reef_7/6/17_2	Crawl Cay Reef	Reef	9.265417	-82.119056	4	1	2	2017-07-06T16:00:00Z	Will Wied	Outside	CCR-C	C-CCR
Crawl Cay Mangrove_7/6/17_1	Crawl Cay Mangrove	Mangrove	9.274934	-82.130763	1	1	1	2017-07-06T19:45:00Z	Janina Seemann	Outside	CCR-M	M-CCR
Crawl Cay Mangrove_7/6/17_2	Crawl Cay Mangrove	Mangrove	9.274934	-82.130763	1	1	2	2017-07-06T20:00:00Z	Will Wied	Outside	CCR-M	M-CCR
Crawl Cay Seagrass_7/6/17_1	Crawl Cay Seagrass	Seagrass	9.274167	-82.127972	1	1	1	2017-07-06T19:15:00Z	Janina Seemann	Outside	CCR-S	S-CCR
Crawl Cay Seagrass_7/6/17_2	Crawl Cay Seagrass	Seagrass	9.274167	-82.127972	1	1	2	2017-07-06T19:00:00Z	Will Wied	Outside	CCR-S	S-CCR
Crawl Cay Sand_7/6/17_1	Crawl Cay Sand	Sand	9.274917	-82.127861	1.5	1	1	2017-07-06T17:30:00Z	Janina Seemann	Outside	CCR-Sa	Sa-CCR
Crawl Cay Sand_7/6/17_2	Crawl Cay Sand	Sand	9.274917	-82.127861	1.5	1	2	2017-07-06T17:30:00Z	Will Wied	Outside	CCR-Sa	Sa-CCR
Cosmic Crab Carenero Dock_7/7/17_1	Cosmic Crab Carenero Dock	Dock	9.343612	-82.235834	0.5	1	1	2017-07-07T18:00:00Z	Will Wied	Outer Bay	COS-D	D-COS
Ferry Dock_7/7/17_1	Ferry Dock	Dock	9.335597	-82.240609	3	1	1	2017-07-07T16:30:00Z	Janina Seemann	Outer Bay	FER-D	D-FER
Ferry Dock2_7/7/17_1	Ferry Dock2	Dock	9.335499	-82.240686	2	1	1	2017-07-07T16:30:00Z	Will Wied	Outer Bay	FER-D	D-FER
Isla Pastores inside Mangroves_6/20/17_1	Isla Pastores inside Mangroves	Mangrove	9.23466	-82.34544	0.8	1	1	2017-06-20T15:00:00Z	Janina Seemann	Inner Bay	IPI-M	M-IPI
Isla Pastores inside Mangroves_6/20/17_2	Isla Pastores inside Mangroves	Mangrove	9.23466	-82.34544	2	1	2	2017-06-20T15:00:00Z	Will Wied	Inner Bay	IPI-M	M-IPI
Isla Pastores inside Seagrass_6/20/17_1	Isla Pastores inside Seagrass	Seagrass	9.23492	-82.34573	1	1	1	2017-06-20T16:15:00Z	Janina Seemann	Inner Bay	IPI-S	S-IPI
Isla Pastores inside Seagrass_6/20/17_2	Isla Pastores inside Seagrass	Seagrass	9.23492	-82.34573	0.5	1	2	2017-06-20T16:15:00Z	Will Wied	Inner Bay	IPI-S	S-IPI
Marina Mangroves_6/16/17_2	Marina Mangroves	Mangrove	9.334212	-82.247999	0.5	1	2	2017-06-16T15:00:00Z	Janina Seemann	Outer Bay	MAR-M	M-MAR
Marina Mangroves_6/16/17_3	Marina Mangroves	Mangrove	9.334212	-82.247999	0.5	1	3	2017-06-16T15:00:00Z	Will Wied	Outer Bay	MAR-M	M-MAR
Marina Seagrass_6/16/17_1	Marina Seagrass	Seagrass	9.333865	-82.247656	2	1	1	2017-06-16T17:00:00Z	Janina Seemann	Outer Bay	MAR-S	S-MAR
Marina Seagrass_6/16/17_3	Marina Seagrass	Seagrass	9.333865	-82.247656	2	1	3	2017-06-16T17:00:00Z	Will Wied	Outer Bay	MAR-S	S-MAR
Mystery Spot Mangrove_6/20/17_1	Mystery Spot Mangrove	Mangrove	9.271099	-82.296867	1	1	1	2017-06-20T20:00:00Z	Janina Seemann	Inner Bay	MYS-M	M-MYS
Mystery Spot Mangrove_6/20/17_3	Mystery Spot Mangrove	Mangrove	9.271099	-82.296867	0.5	1	3	2017-06-20T20:00:00Z	Will Wied	Inner Bay	MYS-M	M-MYS
Mystery Spot Seagrass_6/20/17_1	Mystery Spot Seagrass	Seagrass	9.2711	-82.29763	2	1	1	2017-06-20T21:00:00Z	Janina Seemann	Inner Bay	MYS-S	S-MYS
Mystery Spot Seagrass_6/20/17_2	Mystery Spot Seagrass	Seagrass	9.2711	-82.29763	1.5	1	2	2017-06-20T21:00:00Z	Will Wied	Inner Bay	MYS-S	S-MYS
Punta Puebla Seagrass_7/12/17_1	Punta Puebla Seagrass	Seagrass	9.372683	-82.291065	1.5	1	1	2017-07-12T20:40:00Z	Janina Seemann	Outer Bay	PBL-S	S-PBL
Punta Puebla Seagrass_7/12/17_2	Punta Puebla Seagrass	Seagrass	9.372683	-82.291065	1	1	2	2017-07-12T20:45:00Z	Will Wied	Outer Bay	PBL-S	S-PBL
Juan Point Reef_7/3/17_1	Juan Point Reef	Reef	9.3015	-82.29404	2.5	1	1	2017-07-03T15:00:00Z	Janina Seemann	Inner Bay	PJN-C	C-PJN
Juan Point Reef_7/3/17_2	Juan Point Reef	Reef	9.3015	-82.29404	3	1	2	2017-07-03T15:00:00Z	Will Wied	Inner Bay	PJN-C	C-PJN
Juan Point Mangroves_7/3/17_1	Juan Point Mangroves	Mangrove	9.2967	-82.29319	0.8	1	1	2017-07-03T17:30:00Z	Janina Seemann	Inner Bay	PJN-M	M-PJN
Juan Point Mangroves_7/3/17_2	Juan Point Mangroves	Mangrove	9.2967	-82.29319	1	1	2	2017-07-03T17:30:00Z	Will Wied	Inner Bay	PJN-M	M-PJN
Juan Point Seagrass_7/3/17_1	Juan Point Seagrass	Seagrass	9.29657	-82.29321	1	1	1	2017-07-03T18:30:00Z	Janina Seemann	Inner Bay	PJN-S	S-PJN
Juan Point Seagrass_7/3/17_2	Juan Point Seagrass	Seagrass	9.29657	-82.29321	1	1	2	2017-07-03T18:30:00Z	Will Wied	Inner Bay	PJN-S	S-PJN
Juan Point Sand_7/3/17_1	Juan Point Sand	Sand	9.29728	-82.29531	2.5	1	1	2017-07-03T16:00:00Z	Janina Seemann	Inner Bay	PJN-Sa	Sa-PJN
Juan Point Sand_7/3/17_2	Juan Point Sand	Sand	9.29728	-82.29531	2	1	2	2017-07-03T16:30:00Z	Will Wied	Inner Bay	PJN-Sa	Sa-PJN
Popa Reef_7/5/17_1	Popa Reef	Reef	9.23392	-82.11185	3.5	1	1	2017-07-05T17:00:00Z	Janina Seemann	Outside	PPR-C	C-PPR
Popa Reef_7/5/17_2	Popa Reef	Reef	9.23392	-82.11185	3	1	2	2017-07-05T17:00:00Z	Will Wied	Outside	PPR-C	C-PPR
Popa Mangrove_7/5/17_1	Popa Mangrove	Mangrove	9.231444	-82.121306	2	1	1	2017-07-05T14:35:00Z	Janina Seemann	Outside	PPR-M	M-PPR
Popa Mangrove_7/5/17_2	Popa Mangrove	Mangrove	9.231444	-82.121306	1	1	2	2017-07-05T14:35:00Z	Will Wied	Outside	PPR-M	M-PPR
Popa Seagrass_7/5/17_1	Popa Seagrass	Seagrass	9.23222	-82.11339	2.5	1	1	2017-07-05T16:00:00Z	Janina Seemann	Outside	PPR-S	S-PPR
Popa Seagrass_7/5/17_2	Popa Seagrass	Seagrass	9.23222	-82.11339	2	1	2	2017-07-05T16:00:00Z	Will Wied	Outside	PPR-S	S-PPR
Popa Sand_7/5/17_1	Popa Sand	Sand	9.233952	-82.117477	2.5	1	1	2017-07-05T18:30:00Z	Janina Seemann	Outside	PPR-Sa	Sa-PPR
Popa Sand_7/5/17_2	Popa Sand	Sand	9.233952	-82.117477	2.5	1	2	2017-07-05T18:30:00Z	Will Wied	Outside	PPR-Sa	Sa-PPR
STRI Point Reef_6/15/17_1	STRI Point Reef	Reef	9.34872	-82.26258	3	1	1	2017-06-15T19:30:00Z	Will Wied	Outer Bay	PST-C	C-PST
STRI Point Reef_6/15/17_2	STRI Point Reef	Reef	9.34872	-82.26258	5	1	2	2017-06-15T19:30:00Z	Janina Seemann	Outer Bay	PST-C	C-PST
Stri Dock_7/7/17_1	Stri Dock	Dock	9.351037	-82.257226	1	1	1	2017-07-07T15:40:00Z	Will Wied	Outer Bay	PST-D	D-PST
