,Run,Library,Gene,Adapter.Order,Adapter,Primer.Tag.Number,MLID,Country,Ocean,Locality,Site,Subsite,Ecosystem,Habitat,Size,Fraction,Sample,Note,Site.Code2,rootnum,Site.Code,site_code3,site.code4,Site.Code.Size.Fraction,Ecosystem.Size.Fraction,Sample.Date,BayRegion,BayRegion1
BCS10-10-9_ML1395,BCS_10,10,COI,10,AR016,9,ML1395,Panama,Atlantic,Bocas del Toro,ALR,C3,Coral reef,Water,>0.45,eDNA,Primary,NA,ALR-C3,NA,ALR-C3,ALR-C,C-ALR,ALR-C3 >0.45 eDNA,Coral reef >0.45 eDNA,6/19/17,Inner Bay,Sheltered
BCS10-5-2_ML1394,BCS_10,10,COI,5,AR007,2,ML1394,Panama,Atlantic,Bocas del Toro,ALR,C2,Coral reef,Water,>0.45,eDNA,Primary,NA,ALR-C2,NA,ALR-C2,ALR-C,C-ALR,ALR-C2 >0.45 eDNA,Coral reef >0.45 eDNA,6/19/17,Inner Bay,Sheltered
BCS10-7-7_ML1393,BCS_10,10,COI,7,AR013,7,ML1393,Panama,Atlantic,Bocas del Toro,ALR,C1,Coral reef,Water,>0.45,eDNA,Primary,NA,ALR-C1,NA,ALR-C1,ALR-C,C-ALR,ALR-C1 >0.45 eDNA,Coral reef >0.45 eDNA,6/19/17,Inner Bay,Sheltered
BCS10-2-12_ML1389,BCS_10,10,COI,2,AR004,12,ML1389,Panama,Atlantic,Bocas del Toro,ALR,M3,Mangrove,Water,>0.45,eDNA,Primary,NA,ALR-M3,NA,ALR-M3,ALR-M,M-ALR,ALR-M3 >0.45 eDNA,Mangrove >0.45 eDNA,6/19/17,Inner Bay,Sheltered
BCS10-2-4_ML1335,BCS_10,10,COI,2,AR004,4,ML1335,Panama,Atlantic,Bocas del Toro,ALR,M1,Mangrove,Water,>0.45,eDNA,Primary,NA,ALR-M1,NA,ALR-M1,ALR-M,M-ALR,ALR-M1 >0.45 eDNA,Mangrove >0.45 eDNA,6/19/17,Inner Bay,Sheltered
BCS10-5-4_ML1388,BCS_10,10,COI,5,AR007,4,ML1388,Panama,Atlantic,Bocas del Toro,ALR,M2,Mangrove,Water,>0.45,eDNA,Primary,NA,ALR-M2,NA,ALR-M2,ALR-M,M-ALR,ALR-M2 >0.45 eDNA,Mangrove >0.45 eDNA,6/19/17,Inner Bay,Sheltered
BCS10-12-1_ML1392,BCS_10,10,COI,12,AR019,1,ML1392,Panama,Atlantic,Bocas del Toro,ALR,S3,Seagrass,Water,>0.45,eDNA,Primary,NA,ALR-S3,NA,ALR-S3,ALR-S,S-ALR,ALR-S3 >0.45 eDNA,Seagrass >0.45 eDNA,6/19/17,Inner Bay,Sheltered
BCS10-2-3_ML1391,BCS_10,10,COI,2,AR004,3,ML1391,Panama,Atlantic,Bocas del Toro,ALR,S2,Seagrass,Water,>0.45,eDNA,Primary,NA,ALR-S2,NA,ALR-S2,ALR-S,S-ALR,ALR-S2 >0.45 eDNA,Seagrass >0.45 eDNA,6/19/17,Inner Bay,Sheltered
BCS10-3-8_ML1390,BCS_10,10,COI,3,AR005,8,ML1390,Panama,Atlantic,Bocas del Toro,ALR,S1,Seagrass,Water,>0.45,eDNA,Primary,NA,ALR-S1,NA,ALR-S1,ALR-S,S-ALR,ALR-S1 >0.45 eDNA,Seagrass >0.45 eDNA,6/19/17,Inner Bay,Sheltered
BCS10-10-4_ML1231,BCS_10,10,COI,10,AR016,4,ML1231,Panama,Atlantic,Bocas del Toro,ALR,Sa2,Unvegetated,Water,>0.45,eDNA,Primary,NA,ALR-Sa2,NA,ALR-Sa2,ALR-Sa,Sa-ALR,ALR-Sa2 >0.45 eDNA,Unvegetated >0.45 eDNA,7/12/17,Inner Bay,Sheltered
BCS10-1-10_ML1232,BCS_10,10,COI,1,AR002,10,ML1232,Panama,Atlantic,Bocas del Toro,ALR,Sa3,Unvegetated,Water,>0.45,eDNA,Primary,NA,ALR-Sa3,NA,ALR-Sa3,ALR-Sa,Sa-ALR,ALR-Sa3 >0.45 eDNA,Unvegetated >0.45 eDNA,7/12/17,Inner Bay,Sheltered
BCS10-5-9_ML1233,BCS_10,10,COI,5,AR007,9,ML1233,Panama,Atlantic,Bocas del Toro,ALR,Sa1,Unvegetated,Water,>0.45,eDNA,Primary,NA,ALR-Sa1,NA,ALR-Sa1,ALR-Sa,Sa-ALR,ALR-Sa1 >0.45 eDNA,Unvegetated >0.45 eDNA,7/12/17,Inner Bay,Sheltered
BCS10-7-13_ML1231,BCS_10,10,COI,7,AR013,13,ML1231,Panama,Atlantic,Bocas del Toro,ALR,Sa2,Unvegetated,Water,>0.45,eDNA,Repeat,NA,ALR-Sa2,NA,ALR-Sa2,ALR-Sa,Sa-ALR,ALR-Sa2 >0.45 eDNA,Unvegetated >0.45 eDNA,7/12/17,Inner Bay,Sheltered
BCS10-8-13_ML1231,BCS_10,10,COI,8,AR014,13,ML1231,Panama,Atlantic,Bocas del Toro,ALR,Sa2,Unvegetated,Water,>0.45,eDNA,Repeat,NA,ALR-Sa2,NA,ALR-Sa2,ALR-Sa,Sa-ALR,ALR-Sa2 >0.45 eDNA,Unvegetated >0.45 eDNA,7/12/17,Inner Bay,Sheltered
BCS10-10-10_ML1130,BCS_10,10,COI,10,AR016,10,ML1130,Panama,Atlantic,Bocas del Toro,CAR,D1,Dock,Water,>0.45,eDNA,Primary,NA,CAR-D1,NA,CAR-D1,CAR-D,D-CAR,CAR-D1 >0.45 eDNA,Dock >0.45 eDNA,7/7/17,Outer Bay,Sheltered
BCS10-7-3_ML1159,BCS_10,10,COI,7,AR013,3,ML1159,Panama,Atlantic,Bocas del Toro,CAR,D2,Dock,Water,>0.45,eDNA,Primary,NA,CAR-D2,NA,CAR-D2,CAR-D,D-CAR,CAR-D2 >0.45 eDNA,Dock >0.45 eDNA,7/7/17,Outer Bay,Sheltered
BCS10-5-3_ML1230,BCS_10,10,COI,5,AR007,3,ML1230,Panama,Atlantic,Bocas del Toro,CCR,C1,Coral reef,Water,>0.45,eDNA,Primary,NA,CCR-C1,NA,CCR-C1,CCR-C,C-CCR,CCR-C1 >0.45 eDNA,Coral reef >0.45 eDNA,7/6/17,Outer Shore,Exposed
BCS10-9-3_ML1191,BCS_10,10,COI,9,AR015,3,ML1191,Panama,Atlantic,Bocas del Toro,CCR,C2,Coral reef,Water,>0.45,eDNA,Primary,NA,CCR-C2,NA,CCR-C2,CCR-C,C-CCR,CCR-C2 >0.45 eDNA,Coral reef >0.45 eDNA,7/6/17,Outer Shore,Exposed
BCS12-2-3_ML1192,BCS_12,12,COI,2,AR004,3,ML1192,Panama,Atlantic,Bocas del Toro,CCR,C3,Coral reef,Water,>0.45,eDNA,Primary,NA,CCR-C3,NA,CCR-C3,CCR-C,C-CCR,CCR-C3 >0.45 eDNA,Coral reef >0.45 eDNA,7/6/17,Outer Shore,Exposed
BCS10-10-3_ML1242,BCS_10,10,COI,10,AR016,3,ML1242,Panama,Atlantic,Bocas del Toro,CCR,M1,Mangrove,Water,>0.45,eDNA,Primary,NA,CCR-M1,NA,CCR-M1,CCR-M,M-CCR,CCR-M1 >0.45 eDNA,Mangrove >0.45 eDNA,7/6/17,Outer Shore,Exposed
BCS10-1-7_ML1243,BCS_10,10,COI,1,AR002,7,ML1243,Panama,Atlantic,Bocas del Toro,CCR,M2,Mangrove,Water,>0.45,eDNA,Primary,NA,CCR-M2,NA,CCR-M2,CCR-M,M-CCR,CCR-M2 >0.45 eDNA,Mangrove >0.45 eDNA,7/6/17,Outer Shore,Exposed
BCS10-8-10_ML1212,BCS_10,10,COI,8,AR014,10,ML1212,Panama,Atlantic,Bocas del Toro,CCR,M3,Mangrove,Water,>0.45,eDNA,Primary,NA,CCR-M3,NA,CCR-M3,CCR-M,M-CCR,CCR-M3 >0.45 eDNA,Mangrove >0.45 eDNA,7/6/17,Outer Shore,Exposed
BCS10-11-1_ML1229,BCS_10,10,COI,11,AR018,1,ML1229,Panama,Atlantic,Bocas del Toro,CCR,S3,Seagrass,Water,>0.45,eDNA,Primary,NA,CCR-S3,NA,CCR-S3,CCR-S,S-CCR,CCR-S3 >0.45 eDNA,Seagrass >0.45 eDNA,7/6/17,Outer Shore,Exposed
BCS10-11-9_ML1190,BCS_10,10,COI,11,AR018,9,ML1190,Panama,Atlantic,Bocas del Toro,CCR,S2,Seagrass,Water,>0.45,eDNA,Primary,NA,CCR-S2,NA,CCR-S2,CCR-S,S-CCR,CCR-S2 >0.45 eDNA,Seagrass >0.45 eDNA,7/6/17,Outer Shore,Exposed
BCS10-8-7_ML1211,BCS_10,10,COI,8,AR014,7,ML1211,Panama,Atlantic,Bocas del Toro,CCR,S1,Seagrass,Water,>0.45,eDNA,Primary,NA,CCR-S1,NA,CCR-S1,CCR-S,S-CCR,CCR-S1 >0.45 eDNA,Seagrass >0.45 eDNA,7/6/17,Outer Shore,Exposed
BCS10-11-3_ML1204,BCS_10,10,COI,11,AR018,3,ML1204,Panama,Atlantic,Bocas del Toro,CCR,Sa3,Unvegetated,Water,>0.45,eDNA,Primary,NA,CCR-Sa3,NA,CCR-Sa3,CCR-Sa,Sa-CCR,CCR-Sa3 >0.45 eDNA,Unvegetated >0.45 eDNA,7/6/17,Outer Shore,Exposed
BCS10-3-12_ML1193,BCS_10,10,COI,3,AR005,12,ML1193,Panama,Atlantic,Bocas del Toro,CCR,Sa1,Unvegetated,Water,>0.45,eDNA,Primary,NA,CCR-Sa1,NA,CCR-Sa1,CCR-Sa,Sa-CCR,CCR-Sa1 >0.45 eDNA,Unvegetated >0.45 eDNA,7/6/17,Outer Shore,Exposed
BCS10-7-1_ML1228,BCS_10,10,COI,7,AR013,1,ML1228,Panama,Atlantic,Bocas del Toro,CCR,Sa2,Unvegetated,Water,>0.45,eDNA,Primary,NA,CCR-Sa2,NA,CCR-Sa2,CCR-Sa,Sa-CCR,CCR-Sa2 >0.45 eDNA,Unvegetated >0.45 eDNA,7/6/17,Outer Shore,Exposed
BCS10-3-4_ML1167,BCS_10,10,COI,3,AR005,4,ML1167,Panama,Atlantic,Bocas del Toro,COS,D1,Dock,Water,>0.45,eDNA,Primary,NA,COS-D1,NA,COS-D1,COS-D,D-COS,COS-D1 >0.45 eDNA,Dock >0.45 eDNA,7/7/17,Outer Bay,Sheltered
BCS10-4-7_ML1171,BCS_10,10,COI,4,AR006,7,ML1171,Panama,Atlantic,Bocas del Toro,COS,D2,Dock,Water,>0.45,eDNA,Primary,NA,COS-D2,NA,COS-D2,COS-D,D-COS,COS-D2 >0.45 eDNA,Dock >0.45 eDNA,7/7/17,Outer Bay,Sheltered
BCS10-5-13_ML1167,BCS_10,10,COI,5,AR007,13,ML1167,Panama,Atlantic,Bocas del Toro,COS,D1,Dock,Water,>0.45,eDNA,Repeat,NA,COS-D1,NA,COS-D1,COS-D,D-COS,COS-D1 >0.45 eDNA,Dock >0.45 eDNA,7/7/17,Outer Bay,Sheltered
BCS10-6-13_ML1167,BCS_10,10,COI,6,AR012,13,ML1167,Panama,Atlantic,Bocas del Toro,COS,D1,Dock,Water,>0.45,eDNA,Repeat,NA,COS-D1,NA,COS-D1,COS-D,D-COS,COS-D1 >0.45 eDNA,Dock >0.45 eDNA,7/7/17,Outer Bay,Sheltered
BCS10-11-5_ML1164,BCS_10,10,COI,11,AR018,5,ML1164,Panama,Atlantic,Bocas del Toro,DOC,Neg,Control,Control,Control,Control,Control,NA,DOC-Neg,NA,DOC-Neg,DOC-Neg,N-DOC,DOC-Neg Control Control,Control Control Control,7/7/17,Outer Bay,Sheltered
BCS10-5-10_ML1165,BCS_10,10,COI,5,AR007,10,ML1165,Panama,Atlantic,Bocas del Toro,FER,D1,Dock,Water,>0.45,eDNA,Primary,NA,FER-D1,NA,FER-D1,FER-D,D-FER,FER-D1 >0.45 eDNA,Dock >0.45 eDNA,7/7/17,Outer Bay,Sheltered
