Class	Order	Family	genspec	Common Name	tsn	accepted_tsn
NA	Trichoplacida	Trichoplacidae	Trichoplax adhaerans	NA	NA	NA
Calcarea	Clathrinida	Clathrinidae	Clathrina primordialis	NA	203875	203875
Calcarea	Clathrinida	Leucettidae	Leucetta floridana	NA	46890	46890
Demospongiae	Halichondrida	Heteroxyidae	Myrmekioderma rea	NA	NA	NA
Demospongiae	Agelasida	Agelasidae	Agelas clathrodes	Elephant ear sponge	NA	NA
Demospongiae	Agelasida	Agelasidae	Agelas conifera	Brown tube sponge	NA	NA
Demospongiae	Agelasida	Agelasidae	Agelas dispar	NA	47954	47954
Demospongiae	Astrophorida	Ancorinidae	Asteropus sp.	NA	NA	NA
Demospongiae	Astrophorida	Ancorinidae	Ecionemia megastylifera	NA	NA	NA
Demospongiae	Astrophorida	Ancorinidae	Penares schulzei	NA	NA	NA
Demospongiae	Astrophorida	Ancorinidae	Penares sp.	NA	NA	NA
Demospongiae	Astrophorida	Ancorinidae	Stelletta sp. 1	NA	NA	NA
Demospongiae	Astrophorida	Ancorinidae	Stelletta sp. 2	NA	NA	NA
Demospongiae	Astrophorida	Geodiidae	Erylus formosus	NA	48618	48618
Demospongiae	Astrophorida	Geodiidae	Geodia papyraceae	NA	NA	NA
Demospongiae	Astrophorida	Geodiidae	Geodia sp.	NA	NA	NA
Demospongiae	Chondrosida	Chondrillidae	Chondrosia collectrix	NA	48724	48724
Demospongiae	Dendroceratida	Aplysellidae	Igernella notabilis	NA	47683	47683
Demospongiae	Dendroceratida	Darwinellidae	Chelonaplysilla erecta	NA	47679	47679
Demospongiae	Dendroceratida	Dictyodendrillidae	Megalopastas sp.	NA	NA	NA
Demospongiae	Dendroceratida	Dysideidae	Dysidea etheria	NA	NA	NA
Demospongiae	Dendroceratida	Dysideidae	Dysidea sp. (thin sheets)	NA	NA	NA
Demospongiae	Dictyoceratida	Irciniidae	Ircinia campana	NA	47597	47597
Demospongiae	Dictyoceratida	Irciniidae	Ircinia felix	Stinker sponge	47598	47598
Demospongiae	Dictyoceratida	Irciniidae	Ircinia sp. a	NA	NA	NA
Demospongiae	Dictyoceratida	Irciniidae	Ircinia sp. b	NA	NA	NA
Demospongiae	Dictyoceratida	Irciniidae	Ircinia sp. ramose	NA	NA	NA
Demospongiae	Dictyoceratida	Irciniidae	Ircinia strobilina	Black- Ball Sponge	47600	47600
