phylum	class	order	family	genus	species	tsn	accepted_tsn	in_bocas_db_raw	in_bocas_db_acctsn	acctsn_or_raw_in_bdb
Arthropoda	Insecta	Diptera	Culicidae	Ochlerotatus	Ochlerotatus angustivittatus	NA	NA	FALSE	NA	NA
Annelida	Polychaeta	Phyllodocida	Syllidae	Proceraea	Proceraea fasciata	65603	65602	FALSE	FALSE	FALSE
Cnidaria	Anthozoa	Alcyonacea	Plexauridae	NA	Muricea fruticosa	52181	52181	FALSE	FALSE	FALSE
Mollusca	Cephalopoda	Teuthida	Loliginidae	Sepioteuthis	Sepioteuthis lessoniana	556118	556118	FALSE	FALSE	FALSE
Echinodermata	Holothuroidea	Aspidochirotida	Stichopodidae	Isostichopus	Isostichopus badionotus	1079210	1079210	TRUE	TRUE	TRUE
Arthropoda	Malacostraca	Decapoda	Porcellanidae	Petrolisthes	Petrolisthes armatus	98062	98062	TRUE	TRUE	TRUE
Arthropoda	Malacostraca	Decapoda	Alpheidae	Synalpheus	Synalpheus hoetjesi	NA	NA	FALSE	NA	NA
Mollusca	Gastropoda	NA	Volvatellidae	Ascobulla	Ascobulla ulla	76314	76314	FALSE	FALSE	FALSE
Chordata	Actinopteri	Gerreiformes	Gerreidae	Eucinostomus	Eucinostomus argenteus	169015	169015	FALSE	FALSE	FALSE
Arthropoda	Hexanauplia	Calanoida	NA	NA	Pleuromamma abdominalis	85752	85752	FALSE	FALSE	FALSE
Annelida	Polychaeta	Terebellida	Terebellidae	Loimia	Loimia medusa	68015	68015	FALSE	FALSE	FALSE
Arthropoda	Malacostraca	Decapoda	Panopeidae	Panopeus	Panopeus occidentalis	98780	98780	TRUE	TRUE	TRUE
Chordata	Actinopteri	Clupeiformes	Engraulidae	Anchoa	Anchoa lamprotaenia	161841	161841	FALSE	FALSE	FALSE
Porifera	Homoscleromorpha	Homosclerophorida	Plakinidae	Plakina	Plakina jani	NA	NA	FALSE	NA	NA
Porifera	Demospongiae	Verongiida	Aplysinidae	Aiolochroia	Aiolochroia crassa	47659	47659	TRUE	TRUE	TRUE
Chordata	Actinopteri	Gobiiformes	Gobiidae	Cerdale	Cerdale floridana	172169	172169	FALSE	FALSE	FALSE
Mollusca	Gastropoda	NA	Modulidae	Modulus	Modulus modulus	71909	71909	TRUE	TRUE	TRUE
Porifera	Homoscleromorpha	Homosclerophorida	Plakinidae	Oscarella	Oscarella tuberculata	NA	NA	FALSE	NA	NA
Chordata	Mammalia	Cetacea	Phocoenidae	Neophocaena	Neophocaena phocaenoides	180478	180478	FALSE	FALSE	FALSE
Chordata	Actinopteri	Labriformes	Labridae	Scarus	Scarus iseri	614740	614740	FALSE	FALSE	FALSE
Echinodermata	Ophiuroidea	Ophiurida	Ophiotrichidae	Ophiothrix	Ophiothrix oerstedii	157809	157809	FALSE	FALSE	FALSE
Chordata	Actinopteri	Gobiiformes	Gobiidae	Coryphopterus	Coryphopterus glaucofraenum	171754	171754	FALSE	FALSE	FALSE
Cnidaria	Scyphozoa	Rhizostomeae	Cassiopeidae	Cassiopea	Cassiopea xamachana	719074	719074	TRUE	TRUE	TRUE
Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	Paracalanus aculeatus	85328	85328	FALSE	FALSE	FALSE
Porifera	Demospongiae	Poecilosclerida	Crambeidae	Monanchora	Monanchora clathrata	48083	48083	FALSE	FALSE	FALSE
Cnidaria	Anthozoa	Scleractinia	Agariciidae	Agaricia	Agaricia agaricites	53050	53050	TRUE	TRUE	TRUE
Annelida	Polychaeta	Aspidosiphonidormes	Aspidosiphonidae	Aspidosiphon	Aspidosiphon laevis	154830	154830	TRUE	TRUE	TRUE
Arthropoda	Hexanauplia	Sessilia	Pyrgomatidae	Ceratoconcha	Ceratoconcha domingensis	656274	656274	FALSE	FALSE	FALSE
Porifera	Demospongiae	Haplosclerida	Petrosiidae	Xestospongia	Haliclona vansoesti	NA	NA	TRUE	NA	TRUE
Porifera	Demospongiae	Poecilosclerida	Microcionidae	Clathria	Clathria cervicornis	47989	47989	FALSE	FALSE	FALSE
Chordata	Actinopteri	Carangiformes	Carangidae	Oligoplites	Oligoplites saurus	168673	168673	FALSE	FALSE	FALSE
Chordata	Actinopteri	Atheriniformes	Atherinidae	Atherinomorus	Atherinomorus stipes	166006	166006	FALSE	FALSE	FALSE
Porifera	Demospongiae	Suberitida	Suberitidae	Pseudosuberites	Pseudosuberites nudus	NA	NA	FALSE	NA	NA
Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineris	Lumbrineris perkinsi	NA	NA	TRUE	NA	TRUE
Mollusca	Gastropoda	Littorinimorpha	Strombidae	Strombus	Strombus raninus	72561	72561	TRUE	TRUE	TRUE
Chordata	Actinopteri	Blenniiformes	Blenniidae	Hypleurochilus	Hypleurochilus geminatus	171198	171198	FALSE	FALSE	FALSE
Mollusca	Gastropoda	NA	Cerithiidae	Cerithium	Cerithium atratum	72120	72120	TRUE	TRUE	TRUE
Cnidaria	Scyphozoa	Rhizostomeae	Cassiopeidae	Cassiopea	Cassiopea frondosa	51763	51763	TRUE	TRUE	TRUE
Porifera	Demospongiae	Poecilosclerida	Mycalidae	Mycale	Mycale fibrexilis	48220	48220	FALSE	FALSE	FALSE
Chordata	Actinopteri	Lutjaniformes	Haemulidae	Haemulon	Haemulon steindachneri	169072	169072	FALSE	FALSE	FALSE
Chordata	Actinopteri	Batrachoidiformes	Batrachoididae	Sanopus	Sanopus greenfieldorum	622959	622959	FALSE	FALSE	FALSE
Chordata	Actinopteri	Lutjaniformes	Lutjanidae	Lutjanus	Lutjanus analis	168849	168849	TRUE	TRUE	TRUE
Mollusca	Bivalvia	Arcoida	Noetiidae	Arcopsis	Arcopsis adamsi	79384	79384	TRUE	TRUE	TRUE
Hemichordata	Enteropneusta	NA	Ptychoderidae	Ptychodera	Ptychodera flava	993386	993386	FALSE	FALSE	FALSE
Arthropoda	Hexanauplia	Calanoida	Calanidae	Undinula	Undinula vulgaris	85281	85281	FALSE	FALSE	FALSE
Porifera	Demospongiae	Suberitida	Halichondriidae	Halichondria	Halichondria okadai	NA	NA	FALSE	NA	NA
Echinodermata	Echinoidea	Arbacoida	Arbaciidae	Arbacia	Arbacia punctulata	157906	157906	FALSE	FALSE	FALSE
Cnidaria	Anthozoa	Alcyonacea	Plexauridae	NA	Swiftia pacifica	NA	NA	FALSE	NA	NA
Mollusca	Bivalvia	Ostreoida	Ostreidae	Saccostrea	Saccostrea malabonensis	NA	NA	FALSE	NA	NA
Mollusca	Gastropoda	Neogastropoda	Fasciolariidae	Fasciolaria	Fasciolaria tulipa	74182	74182	TRUE	TRUE	TRUE
Annelida	Polychaeta	Phyllodocida	Polynoidae	Harmothoe	Harmothoe longidentis	NA	NA	FALSE	NA	NA
Porifera	Homoscleromorpha	Homosclerophorida	Plakinidae	Oscarella	Oscarella microlobata	NA	NA	FALSE	NA	NA
Arthropoda	Malacostraca	NA	Pseudosquillidae	Pseudosquilla	Pseudosquilla ciliata	99184	99184	FALSE	FALSE	FALSE
Cnidaria	Hydrozoa	Anthoathecata	Eudendriidae	Eudendrium	Eudendrium capillare	49101	49101	TRUE	TRUE	TRUE
Chordata	Actinopteri	Labriformes	Labridae	Sparisoma	Sparisoma chrysopterum	170864	170864	TRUE	TRUE	TRUE
Cnidaria	Hydrozoa	Leptothecata	Eirenidae	Eirene	Eirene brevistylus	NA	NA	FALSE	NA	NA
Annelida	Clitellata	Haplotaxida	Naididae	Pristina	Pristina leidyi	68894	68894	FALSE	FALSE	FALSE
Arthropoda	Insecta	Lepidoptera	NA	NA	Synemon austera	NA	NA	FALSE	NA	NA
Chordata	Actinopteri	Kurtiformes	Apogonidae	Phaeoptyx	Phaeoptyx xenus	168310	168310	FALSE	FALSE	FALSE
Porifera	Demospongiae	Clionaida	Clionaidae	Cliona	Cliona viridis	NA	NA	FALSE	NA	NA
Arthropoda	Hexanauplia	Pygophora	Lithoglyptidae	Armatoglyptes	Armatoglyptes habei	NA	NA	FALSE	NA	NA
Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus furcatus	85355	85355	FALSE	FALSE	FALSE
Chordata	Actinopteri	Gerreiformes	Gerreidae	Eucinostomus	Eucinostomus jonesii	645460	645460	FALSE	FALSE	FALSE
Arthropoda	Hexanauplia	Poecilostomatoida	Sapphirinidae	Copilia	Copilia mirabilis	88847	88847	FALSE	FALSE	FALSE
Bryozoa	Gymnolaemata	Cheilostomatida	Watersiporidae	Watersipora	Watersipora subovoidea	NA	NA	FALSE	NA	NA
Porifera	Demospongiae	Dendroceratida	Halisarcidae	Halisarca	Halisarca dujardini	47686	47686	FALSE	FALSE	FALSE
Chordata	Actinopteri	Lutjaniformes	Lutjanidae	Lutjanus	Lutjanus apodus	168850	168850	TRUE	TRUE	TRUE
Mollusca	Gastropoda	Nudibranchia	Glaucidae	Dondice	Dondice occidentalis	78723	78723	TRUE	TRUE	TRUE
Annelida	Polychaeta	Sabellida	Sabellidae	Branchiomma	Branchiomma bairdi	NA	NA	FALSE	NA	NA
Echinodermata	Ophiuroidea	Ophiurida	Ophionereidae	Ophionereis	Ophionereis reticulata	157770	157770	TRUE	TRUE	TRUE
Chordata	Actinopteri	Lutjaniformes	Haemulidae	Haemulon	Haemulon flavolineatum	169065	169065	TRUE	TRUE	TRUE
Cnidaria	Hydrozoa	Leptothecata	Campanulariidae	Clytia	Clytia hemisphaerica	49583	49583	TRUE	TRUE	TRUE
Porifera	Demospongiae	Suberitida	Suberitidae	Suberites	Suberites aurantiacus	NA	NA	TRUE	NA	TRUE
Porifera	Demospongiae	Verongiida	Aplysinidae	Aplysina	Aplysina aerophoba	NA	NA	FALSE	NA	NA
Arthropoda	Insecta	Hymenoptera	Formicidae	Camponotus	Camponotus floridanus	575931	575931	FALSE	FALSE	FALSE
Porifera	Demospongiae	Haplosclerida	Chalinidae	Haliclona	Haliclona amphioxa	NA	NA	FALSE	NA	NA
Echinodermata	Holothuroidea	Aspidochirotida	Holothuriidae	Holothuria	Holothuria arenicola	158319	158319	TRUE	TRUE	TRUE
Chordata	Actinopteri	Gerreiformes	Gerreidae	Eucinostomus	Eucinostomus gula	169016	169016	FALSE	FALSE	FALSE
Cnidaria	Anthozoa	Alcyonacea	Briareidae	Briareum	Briareum asbestinum	52083	52083	TRUE	TRUE	TRUE
Gastrotricha	NA	Macrodasyida	Macrodasyidae	Urodasys	Urodasys calicostylis	NA	NA	FALSE	NA	NA
Chordata	Actinopteri	Chaetodontiformes	Chaetodontidae	Chaetodon	Chaetodon striatus	169563	169563	TRUE	TRUE	TRUE
Chordata	Actinopteri	Labriformes	Labridae	Halichoeres	Halichoeres bivittatus	170503	170503	TRUE	TRUE	TRUE
Chordata	Actinopteri	Lutjaniformes	Lutjanidae	Ocyurus	Ocyurus chrysurus	168907	168907	TRUE	TRUE	TRUE
Arthropoda	Malacostraca	Decapoda	Sesarmidae	Armases	Armases cinereum	621739	621739	FALSE	FALSE	FALSE
Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	180366	180366	FALSE	FALSE	FALSE
Porifera	Demospongiae	Haplosclerida	Chalinidae	Haliclona	Haliclona vansoesti	NA	NA	TRUE	NA	TRUE
Chordata	Actinopteri	Lutjaniformes	Haemulidae	Haemulon	Haemulon aurolineatum	169058	169058	TRUE	TRUE	TRUE
Annelida	Polychaeta	Phascolosomatiformes	Phascolosomatidae	Phascolosoma	Phascolosoma perlucens	154942	772947	TRUE	TRUE	TRUE
Porifera	Demospongiae	Clionaida	Clionaidae	Cliona	Clionaopsis platei	NA	NA	FALSE	NA	NA
Arthropoda	Malacostraca	Decapoda	Mithracidae	Amphithrax	Amphithrax hemphilli	NA	NA	FALSE	NA	NA
Cnidaria	Anthozoa	Alcyonacea	Gorgoniidae	Antillogorgia	Antillogorgia bipinnata	NA	NA	FALSE	NA	NA
Porifera	Demospongiae	Haplosclerida	Chalinidae	Haliclona	Haliclona oculata	47779	47779	FALSE	FALSE	FALSE
Porifera	Demospongiae	Axinellida	Raspailiidae	Ectyoplasia	Ectyoplasia ferox	48160	48160	TRUE	TRUE	TRUE
Arthropoda	Insecta	Diptera	Ceratopogonidae	Culicoides	Culicoides furens	127507	127507	FALSE	FALSE	FALSE
Porifera	Demospongiae	Poecilosclerida	Microcionidae	Clathria	Clathria armata	NA	NA	FALSE	NA	NA
Porifera	Demospongiae	Dictyoceratida	Spongiidae	Hyattella	Hyattella sinuosa	NA	NA	FALSE	NA	NA
Arthropoda	Malacostraca	Decapoda	Majidae	Microphrys	Microphrys bicornutus	621728	621728	TRUE	TRUE	TRUE
Annelida	Polychaeta	Spionida	Chaetopteridae	Chaetopterus	Chaetopterus variopedatus	67097	67097	FALSE	FALSE	FALSE
Mollusca	Bivalvia	Pterioida	Pteriidae	Pinctada	Pinctada imbricata	79593	79593	TRUE	TRUE	TRUE
Mollusca	Bivalvia	Pterioida	Pinnidae	Pinna	Pinna carnea	79586	79586	TRUE	TRUE	TRUE
Chordata	Actinopteri	Labriformes	Labridae	Sparisoma	Sparisoma radians	170865	170865	TRUE	TRUE	TRUE
Nemertea	Pilidiophora	Heteronemertea	Lineidae	Micrura	Micrura rubramaculosa	NA	NA	TRUE	NA	TRUE
Cnidaria	Anthozoa	Scleractinia	Meandrinidae	NA	Eusmilia fastigiata	53622	53622	TRUE	TRUE	TRUE
Arthropoda	Insecta	Hymenoptera	Formicidae	Azteca	Azteca ovaticeps	574692	574692	FALSE	FALSE	FALSE
Cnidaria	Hydrozoa	Leptothecata	Eirenidae	Eirene	Eirene ceylonensis	49789	49789	FALSE	FALSE	FALSE
