SHA1	Coral reef	Dock	Mangrove	Seagrass	Unvegetated	MeanDecreaseAccuracy	MeanDecreaseGini	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species
ba0f4e79267f97b622e498aef6a7b4e70640d182	4.660991059428599	7.517024962986473	15.727040455044868	19.263704271474168	5.159785818032314	20.0729892096272	3.038521497598508	Eukaryota	Metazoa	Arthropoda	NA	NA	NA	NA	NA
5fb3d11dea2def749bf46cc633e7b266041fc726	9.122613254512887	7.65166381157178	14.99810780043451	4.635034241501134	8.295833764369377	15.268329915089511	1.9911448049582656	Eukaryota	Metazoa	NA	NA	NA	NA	NA	NA
11babcb5555267216960851025d48db304b81fc0	7.321430541066492	13.12369413497645	6.0139872179285625	9.210037727943687	7.727092541135275	15.25483101362673	1.8967494784092165	Eukaryota	Metazoa	Porifera	Demospongiae	Poecilosclerida	Microcionidae	Clathria	Clathria cervicornis
e875c44def5b4757be16108d7c5c4d084e18a8c3	7.391054278914651	6.317654641217823	9.32789267883788	8.12095015401293	7.897334372144536	13.004317899324969	1.3917478122808982	Eukaryota	Metazoa	NA	NA	NA	NA	NA	NA
00b22e8a723561f7789ee8ed6995f38b4cdd7f9a	4.029146508629611	1.6289845244871903	10.60689398368415	2.312364176231626	11.281255379649997	12.001975452033333	1.2480263137987437	Eukaryota	Metazoa	NA	NA	NA	NA	NA	NA
38544591dca79782f6645168200203f5b01cff96	3.8817828305628592	2.4570616823119025	7.896545882334982	8.609176701990675	5.512401980425853	11.339359710677565	1.183903703829631	Eukaryota	Metazoa	Arthropoda	Insecta	NA	NA	NA	NA
8bec052e02ae8881baa0465fc52ae1b7b0b08a79	6.596831699046105	7.196748971987305	7.03100770628675	2.1666895461843207	5.445157890799245	10.494290823345438	1.3753782383333837	Eukaryota	Metazoa	NA	NA	NA	NA	NA	NA
d63eea35529caf3528b585f1787d93b4aa2734c9	5.500441719239121	6.482854122812115	9.937847971839737	-0.8940863965994684	7.307567909837729	10.280313401753261	1.2243212029140933	Eukaryota	Metazoa	Mollusca	Bivalvia	Pterioida	Isognomonidae	Isognomon	Isognomon alatus
cdff75169452cf03ed2e8c2405fb27acbce5be75	0.8736250472036738	-0.9891289233460867	8.37148649780137	8.93818154436973	4.515968021191657	9.851077081359007	1.0370905798961938	Eukaryota	Metazoa	Porifera	Demospongiae	Haplosclerida	Chalinidae	Haliclona	Haliclona manglaris
b4ab1a52d6b48715724563a467dc97e5534ed160	3.0035816737932333	8.359206525666332	2.7635287651837226	4.9529951227317595	4.452206675241966	9.467449541080123	0.6855083529364939	Eukaryota	Metazoa	Porifera	Demospongiae	Poecilosclerida	Tedaniidae	Tedania	Tedania ignis
